"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fund_expenditure_type","fares_and_other_directly","fares_and_other_directly_1","taxes_fees_levied_by_transit","taxes_fees_levied_by_transit_1","local","local_questionable","state_1","state_questionable","federal","federal_questionable","total","total_questionable"
"Goldsboro-Wayne Transportation Authority","Goldsboro","NC","40132","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","33814","Goldsboro, NC","54456","21","Funds Expended on Operations","142453",,"0",,"1308377",,"578995",,"1216745",,"3246570",
"Guilford County, dba: Guilford County Transportation & Mobility Services","Greensboro","NC","40133","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35164","Greensboro, NC","338928","21","Funds Expended on Operations","17760",,"0",,"735463",,"416406",,"242032",,"1411661",
"Guilford County, dba: Guilford County Transportation & Mobility Services","Greensboro","NC","40133","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35164","Greensboro, NC","338928","21","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Municipality of Bayamon","Bayamon","PR","40137","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","17","Funds Expended on Capital","0",,"0",,"43397",,"0",,"9419",,"52816",
"Municipality of Bayamon","Bayamon","PR","40137","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","17","Funds Expended on Operations","0",,"0",,"23290",,"0",,"642944",,"666234",
"Gwinnett County Board of Commissioners, dba: Ride Gwinnett","Lawrenceville","GA","40138","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","77","Funds Expended on Capital","0",,"0",,"836281",,"0",,"1098323",,"1934604",
"Gwinnett County Board of Commissioners, dba: Ride Gwinnett","Lawrenceville","GA","40138","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","77","Funds Expended on Operations","3737107",,"0",,"16320936",,"0",,"9998405",,"30056448",
"Collier County, dba: Collier Area Transit","Naples","FL","40140","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","08974","Bonita Springs--Estero, FL","425675","55","Funds Expended on Operations","1295034",,"0",,"7045610",,"2619734",,"4031208",,"14991586",
"Collier County, dba: Collier Area Transit","Naples","FL","40140","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","08974","Bonita Springs--Estero, FL","425675","55","Funds Expended on Capital","0",,"0",,"0",,"0",,"2152318",,"2152318",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","18964","Columbia, SC","590407","99","Funds Expended on Capital","0",,"0",,"0",,"1319395",,"3958188",,"5277583",
"Central Midlands Regional Transportation Authority, dba: The COMET","Columbia","SC","40141","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","18964","Columbia, SC","590407","99","Funds Expended on Operations","3095339",,"0",,"22548393",,"523728",,"2038896",,"28206356",
"Town of Cary, dba: GoCary","Cary","NC","40143","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","26","Funds Expended on Capital","0",,"0",,"23330404",,"0",,"5496",,"23335900",
"Town of Cary, dba: GoCary","Cary","NC","40143","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","26","Funds Expended on Operations","1314565",,"0",,"6019102",,"241523",,"2676386",,"10251576",
"City of Gainesville, dba: Hall Area Transit","Gainesville","GA","40144","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32194","Gainesville, GA","164365","14","Funds Expended on Operations","296327",,"0",,"753007",,"0",,"962462",,"2011796",
"City of Gainesville, dba: Hall Area Transit","Gainesville","GA","40144","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32194","Gainesville, GA","164365","14","Funds Expended on Capital","0",,"0",,"149279",,"149277",,"1194219",,"1492775",
"Municipality of Manati, dba: Municipio de Manati","Manati","PR","40145","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","Funds Expended on Capital","0",,"0",,"0",,"0",,"152937",,"152937",
"Municipality of Manati, dba: Municipio de Manati","Manati","PR","40145","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","Funds Expended on Operations","3114",,"0",,"16182",,"0",,"462975",,"482271",
"Hernando County Board of County Commissioners, dba: TheBus","Brooksville","FL","40146","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","84024","Spring Hill, FL","169050","10","Funds Expended on Capital","0",,"0",,"0",,"0",,"1805899",,"1805899",
"Hernando County Board of County Commissioners, dba: TheBus","Brooksville","FL","40146","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","84024","Spring Hill, FL","169050","10","Funds Expended on Operations","169110",,"0",,"982418",,"767747",,"1574146",,"3493421",
"North Carolina State University","Raleigh","NC","40147","University","Full Reporter","2024","73261","Raleigh, NC","1106646","25","Funds Expended on Operations","7361875",,"0",,"450000",,"0",,"0",,"7811875",
"North Carolina State University","Raleigh","NC","40147","University","Full Reporter","2024","73261","Raleigh, NC","1106646","25","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Municipality of Barceloneta","Barceloneta","PR","40150","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","05040","Barceloneta--Florida--Bajadero, PR","65070","9","Funds Expended on Operations","0",,"0",,"282753",,"0",,"815301",,"1098054",
"Municipality of Barceloneta","Barceloneta","PR","40150","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","05040","Barceloneta--Florida--Bajadero, PR","65070","9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Municipality of Hatillo","Hatillo","PR","40151","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03034","Arecibo, PR","123724","5","Funds Expended on Capital","0",,"0",,"812",,"0",,"3986",,"4798",
"Municipality of Hatillo","Hatillo","PR","40151","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03034","Arecibo, PR","123724","5","Funds Expended on Operations","0",,"0",,"10062",,"0",,"150209",,"160271",
"St Johns County, Florida, dba: St Johns County Sunshine Bus Company","Saint Augustine","FL","40155","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77230","St. Augustine, FL","91786","29","Funds Expended on Capital","0",,"0",,"0",,"0",,"912829",,"912829",
"St Johns County, Florida, dba: St Johns County Sunshine Bus Company","Saint Augustine","FL","40155","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","77230","St. Augustine, FL","91786","29","Funds Expended on Operations","131596",,"0",,"276489",,"1304763",,"1915230",,"3628078",
"Lower Savannah COG","Aiken","SC","40156","MPO, COG or Other Planning Agency","Reduced Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","3","Funds Expended on Operations","30413",,"0",,"42625",,"0",,"614302",,"687340",
"Lower Savannah COG","Aiken","SC","40156","MPO, COG or Other Planning Agency","Reduced Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","3","Funds Expended on Capital","0",,"0",,"37070",,"7101",,"219189",,"263360",
"Lake County Board of County Commissioners, dba: LakeXpress","Tavares","FL","40158","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","48799","Leesburg--Eustis--Tavares, FL","151523","42","Funds Expended on Capital","0",,"0",,"4484",,"0",,"3881564",,"3886048",
"Lake County Board of County Commissioners, dba: LakeXpress","Tavares","FL","40158","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","48799","Leesburg--Eustis--Tavares, FL","151523","42","Funds Expended on Operations","317624",,"0",,"1290707",,"2775320",,"5179186",,"9562837",
"Regional Transportation Authority, dba: WeGo Public Transit","Madison","TN","40159","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61273","Nashville-Davidson, TN","1158642","26","Funds Expended on Capital","7707",,"0",,"113144",,"113145",,"1750362",,"1984358",
"Regional Transportation Authority, dba: WeGo Public Transit","Madison","TN","40159","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61273","Nashville-Davidson, TN","1158642","26","Funds Expended on Operations","1364039",,"0",,"2348751",,"1212624",,"5645634",,"10571048",
"Municipality of Camuy","Camuy","PR","40160","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03034","Arecibo, PR","123724","10","Funds Expended on Operations","0",,"0",,"0",,"0",,"2046587",,"2046587",
"Municipality of Camuy","Camuy","PR","40160","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03034","Arecibo, PR","123724","10","Funds Expended on Capital","12087",,"0",,"46032",,"0",,"956886",,"1015005",
"Cherokee County Board of Commissioners, dba: Cherokee Area Transit Service (CATS)","Canton","GA","40161","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","21","Funds Expended on Capital","0",,"0",,"168247",,"0",,"550397",,"718644",
"Cherokee County Board of Commissioners, dba: Cherokee Area Transit Service (CATS)","Canton","GA","40161","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","21","Funds Expended on Operations","155128",,"0",,"519654",,"53562",,"985036",,"1713380",
"Franklin Transit Authority, dba: Franklin Transit","Franklin","TN","40162","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","61273","Nashville-Davidson, TN","1158642","14","Funds Expended on Capital","0",,"0",,"55042",,"55043",,"440332",,"550417",
"Franklin Transit Authority, dba: Franklin Transit","Franklin","TN","40162","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","61273","Nashville-Davidson, TN","1158642","14","Funds Expended on Operations","91808",,"0",,"697286",,"297139",,"2287465",,"3373698",
"Municipality of Catano","Catano","PR","40163","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","4","Funds Expended on Operations","0",,"0",,"161130",,"0",,"64123",,"225253",
"Municipality of Catano","Catano","PR","40163","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Municipality of Fajardo","Fajardo","PR","40164","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28981","Fajardo, PR","68587","4","Funds Expended on Operations","0",,"0",,"120657",,"0",,"187551",,"308208",
"Municipality of Fajardo","Fajardo","PR","40164","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","28981","Fajardo, PR","68587","4","Funds Expended on Capital","0",,"0",,"0",,"0",,"333302",,"333302",
"Municipality of Juncos","Juncos","PR","40165","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","Funds Expended on Operations","0",,"0",,"101986",,"0",,"183346",,"285332",
"Municipality of Juncos","Juncos","PR","40165","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","Funds Expended on Capital","0",,"0",,"3674",,"0",,"46398",,"50072",
"City of Jacksonville, dba: Jacksonville Transit","Jacksonville","NC","40166","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","42400","Jacksonville, NC","111224","9","Funds Expended on Operations","166560",,"0",,"735278",,"181990",,"1291497",,"2375325",
"City of Jacksonville, dba: Jacksonville Transit","Jacksonville","NC","40166","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","42400","Jacksonville, NC","111224","9","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"City of Concord, dba: Concord Kannapolis Area Transit (Rider)","Concord","NC","40167","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","13","Funds Expended on Operations","366188",,"0",,"2682831",,"316678",,"2229877",,"5595574",
"City of Concord, dba: Concord Kannapolis Area Transit (Rider)","Concord","NC","40167","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","13","Funds Expended on Capital","0",,"0",,"128260",,"0",,"513045",,"641305",
"Regional Planning Commission of Greater Birmingham, dba: CommuteSmart","Birmingham","AL","40169","MPO, COG or Other Planning Agency","Full Reporter","2024","07786","Birmingham, AL","774956","18","Funds Expended on Operations","243175",,"0",,"0",,"0",,"157536",,"400711",
"Regional Planning Commission of Greater Birmingham, dba: CommuteSmart","Birmingham","AL","40169","MPO, COG or Other Planning Agency","Full Reporter","2024","07786","Birmingham, AL","774956","18","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Southeast Tennessee Human Resource Agency, dba: Cleveland Urban Area Transit System Division","Dunlap","TN","40170","Other Publicly-Owned or Privately Chartered Corporation","Reduced Reporter","2024","17722","Cleveland, TN","73918","12","Funds Expended on Capital","0",,"0",,"0",,"0",,"114412",,"114412",
"Southeast Tennessee Human Resource Agency, dba: Cleveland Urban Area Transit System Division","Dunlap","TN","40170","Other Publicly-Owned or Privately Chartered Corporation","Reduced Reporter","2024","17722","Cleveland, TN","73918","12","Funds Expended on Operations","132563",,"0",,"0",,"433500",,"595866",,"1161929",
"Knoxville-Knox County Community Action Committee, dba: Knox County CAC Transit","Knoxville","TN","40171","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","45640","Knoxville, TN","597257","29","Funds Expended on Capital","4362",,"0",,"132334",,"109536",,"740358",,"986590",
"Knoxville-Knox County Community Action Committee, dba: Knox County CAC Transit","Knoxville","TN","40171","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","45640","Knoxville, TN","597257","29","Funds Expended on Operations","716120",,"0",,"0",,"867229",,"2098138",,"3681487",
"Western Piedmont Regional Transit Authority, dba: Greenway Public Transportation","Conover","NC","40172","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","38647","Hickory, NC","201511","46","Funds Expended on Operations","0",,"0",,"1678219",,"898231",,"3108419",,"5684869",
"Western Piedmont Regional Transit Authority, dba: Greenway Public Transportation","Conover","NC","40172","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","38647","Hickory, NC","201511","46","Funds Expended on Capital","586047",,"0",,"96449",,"32260",,"369976",,"1084732",
"Piedmont Authority for Regional Transportation","Greensboro","NC","40173","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","35164","Greensboro, NC","338928","56","Funds Expended on Operations","2003468",,"2916536",,"238256",,"1116011",,"2395778",,"8670049",
"Piedmont Authority for Regional Transportation","Greensboro","NC","40173","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","35164","Greensboro, NC","338928","56","Funds Expended on Capital","48492",,"194017",,"0",,"0",,"208861",,"451370",
"Municipality of Yauco, dba: Sistema de Transporte Colectivo Yauco","Yauco","PR","40174","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","97561","Yauco, PR","63885","20","Funds Expended on Capital","0",,"0",,"0",,"0",,"66600",,"66600",
"Municipality of Yauco, dba: Sistema de Transporte Colectivo Yauco","Yauco","PR","40174","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","97561","Yauco, PR","63885","20","Funds Expended on Operations","2512",,"0",,"0",,"0",,"1502895",,"1505407",
"Puerto Rico Maritime Transport Authority","Guaynabo","PR","40175","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","11","Funds Expended on Capital","0",,"0",,"0",,"885000",,"5381537",,"6266537",
"Puerto Rico Maritime Transport Authority","Guaynabo","PR","40175","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","11","Funds Expended on Operations","1879895",,"0",,"0",,"43903423",,"10243807",,"56027125",
"Atlanta Regional Commission","Atlanta","GA","40176","MPO, COG or Other Planning Agency","Planning Reporter","2024","03817","Atlanta, GA","5100112",,"Funds Expended on Operations","0",,"0",,"306177",,"300108",,"2412994",,"3019279",
"Atlanta Regional Commission","Atlanta","GA","40176","MPO, COG or Other Planning Agency","Planning Reporter","2024","03817","Atlanta, GA","5100112",,"Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"The Transportation Management Association Group, dba: The TMA Group","Franklin","TN","40178","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","61273","Nashville-Davidson, TN","1158642","42","Funds Expended on Capital","42280",,"0",,"0",,"135099",,"0",,"177379",
"The Transportation Management Association Group, dba: The TMA Group","Franklin","TN","40178","Private Provider Reporting on Behalf of a Public Entity","Full Reporter","2024","61273","Nashville-Davidson, TN","1158642","42","Funds Expended on Operations","3843735",,"0",,"0",,"0",,"999981",,"4843716",
"University of Georgia, dba: Transportation and Parking Services","Athens","GA","40180","University","Full Reporter","2024","03763","Athens-Clarke County, GA","143213","56","Funds Expended on Capital","1794966",,"0",,"0",,"0",,"0",,"1794966",
"University of Georgia, dba: Transportation and Parking Services","Athens","GA","40180","University","Full Reporter","2024","03763","Athens-Clarke County, GA","143213","56","Funds Expended on Operations","8799983",,"0",,"0",,"0",,"0",,"8799983",
"Henry County, dba: Henry County Transit","Mcdonough","GA","40181","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","30","Funds Expended on Operations","373849",,"0",,"2389294",,"0",,"315641",,"3078784",
"Henry County, dba: Henry County Transit","Mcdonough","GA","40181","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","30","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Municipality of Toa Baja","Toa Baja","PR","40182","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","Funds Expended on Capital","0",,"0",,"73267",,"0",,"24000",,"97267",
"Municipality of Toa Baja","Toa Baja","PR","40182","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","Funds Expended on Operations","0",,"0",,"5420",,"0",,"503726",,"509146",
"Municipality of San Sebastian","San Sebastian","PR","40183","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","7","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Municipality of San Sebastian","San Sebastian","PR","40183","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","7","Funds Expended on Operations","0",,"0",,"171408",,"0",,"0",,"171408",
"City of Bowling Green, dba: GOBG Transit","Bowling Green","KY","40184","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09379","Bowling Green, KY","97814","14","Funds Expended on Operations","4998",,"0",,"661139",,"664",,"1252895",,"1919696",
"City of Bowling Green, dba: GOBG Transit","Bowling Green","KY","40184","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","09379","Bowling Green, KY","97814","14","Funds Expended on Capital","4778",,"0",,"54812",,"0",,"120309",,"179899",
"Bay County Transportation Planning Organization, dba: Bayway","Panama City","FL","40185","MPO, COG or Other Planning Agency","Full Reporter","2024","67305","Panama City--Panama City Beach, FL","162060","35","Funds Expended on Capital","0",,"0",,"0",,"0",,"2160327",,"2160327",
"Bay County Transportation Planning Organization, dba: Bayway","Panama City","FL","40185","MPO, COG or Other Planning Agency","Full Reporter","2024","67305","Panama City--Panama City Beach, FL","162060","35","Funds Expended on Operations","765715",,"0",,"840872",,"1808146",,"3049439",,"6464172",
"City of Murfreesboro, dba: Murfreesboro Transit","Murfreesboro","TN","40186","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","60733","Murfreesboro, TN","177313","6","Funds Expended on Capital","0",,"0",,"211016",,"211010",,"1925135",,"2347161",
"City of Murfreesboro, dba: Murfreesboro Transit","Murfreesboro","TN","40186","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","60733","Murfreesboro, TN","177313","6","Funds Expended on Operations","51082",,"0",,"249140",,"846981",,"1093245",,"2240448",
"York County Council on Aging, dba: York County Council on Aging, Inc.","Rock Hill","SC","40187","Private-Non-Profit Corporation","Reduced Reporter","2024","75745","Rock Hill, SC","218443","26","Funds Expended on Operations","337836",,"0",,"64160",,"42515",,"135692",,"580203",
"York County Council on Aging, dba: York County Council on Aging, Inc.","Rock Hill","SC","40187","Private-Non-Profit Corporation","Reduced Reporter","2024","75745","Rock Hill, SC","218443","26","Funds Expended on Capital","0",,"0",,"28454",,"0",,"60086",,"88540",
"Government of the Virgin Islands, dba: Vitran","Charlotte Amalie","VI","40188","State Government Unit or Department of Transportation","Reduced Reporter","2024","00078","Virgin Islands, VI","87146","27","Funds Expended on Capital","0",,"0",,"19214",,"0",,"6243829",,"6263043",
"Government of the Virgin Islands, dba: Vitran","Charlotte Amalie","VI","40188","State Government Unit or Department of Transportation","Reduced Reporter","2024","00078","Virgin Islands, VI","87146","27","Funds Expended on Operations","40000",,"0",,"4597473",,"0",,"2913580",,"7551053",
"East Tennessee Human Resource Agency, Inc.","Knoxville","TN","40190","Other Publicly-Owned or Privately Chartered Corporation","Reduced Reporter","2024","59410","Morristown, TN","66539","83","Funds Expended on Operations","2281932",,"0",,"271530",,"2322650",,"7083047",,"11959159",
"East Tennessee Human Resource Agency, Inc.","Knoxville","TN","40190","Other Publicly-Owned or Privately Chartered Corporation","Reduced Reporter","2024","59410","Morristown, TN","66539","83","Funds Expended on Capital","0",,"0",,"40451",,"40450",,"323601",,"404502",
"Transit Authority of Central Kentucky, dba: TACK","Elizabethtown","KY","40191","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","26750","Elizabethtown--Radcliff, KY","76441","41","Funds Expended on Capital","67887",,"0",,"0",,"0",,"271551",,"339438",
"Transit Authority of Central Kentucky, dba: TACK","Elizabethtown","KY","40191","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","26750","Elizabethtown--Radcliff, KY","76441","41","Funds Expended on Operations","2214065",,"0",,"5000",,"0",,"2214065",,"4433130",
"Martin County","Stuart","FL","40192","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71479","Port St. Lucie, FL","437745","11","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Martin County","Stuart","FL","40192","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71479","Port St. Lucie, FL","437745","11","Funds Expended on Operations","155798",,"0",,"1894681",,"342661",,"1080334",,"3473474",
"City of Hinesville, Georgia, dba: Liberty Transit","Hinesville","GA","40193","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","39133","Hinesville, GA","53107","5","Funds Expended on Operations","15066",,"0",,"367140",,"35207",,"615500",,"1032913",
"City of Hinesville, Georgia, dba: Liberty Transit","Hinesville","GA","40193","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","39133","Hinesville, GA","53107","5","Funds Expended on Capital","0",,"0",,"26500",,"26500",,"212002",,"265002",
"Municipality of Mayaguez","Mayaguez","PR","40194","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","55738","Mayagüez, PR","91583","20","Funds Expended on Capital","0",,"0",,"0",,"0",,"524977",,"524977",
"Municipality of Mayaguez","Mayaguez","PR","40194","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","55738","Mayagüez, PR","91583","20","Funds Expended on Operations","19999",,"0",,"279337",,"0",,"2330520",,"2629856",
"Municipality of San Lorenzo","San Lorenzo","PR","40195","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","9","Funds Expended on Capital","0",,"0",,"26979",,"0",,"101320",,"128299",
"Municipality of San Lorenzo","San Lorenzo","PR","40195","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","9","Funds Expended on Operations","0",,"0",,"37644",,"0",,"884347",,"921991",
"Municipality of Lares","Lares","PR","40197","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00072","Puerto Rico Non-UZA","463143","4","Funds Expended on Operations","0",,"0",,"263200",,"0",,"0",,"263200",
"Municipality of Lares","Lares","PR","40197","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00072","Puerto Rico Non-UZA","463143","4","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Municipality of Dorado","Dorado","PR","40198","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","6","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Municipality of Dorado","Dorado","PR","40198","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","6","Funds Expended on Operations","0",,"0",,"412530",,"0",,"512999",,"925529",
"Autonomous Municipality of Vega Alta, dba: Municipio Autonomo de Vega Alta","Vega Alta","PR","40199","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","10","Funds Expended on Capital","0",,"0",,"0",,"0",,"65281",,"65281",
"Autonomous Municipality of Vega Alta, dba: Municipio Autonomo de Vega Alta","Vega Alta","PR","40199","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","10","Funds Expended on Operations","0",,"0",,"56176",,"0",,"589247",,"645423",
"Municipality of Guaynabo","Guaynabo","PR","40201","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","13","Funds Expended on Operations","0",,"0",,"1541558",,"0",,"721911",,"2263469",
"Municipality of Guaynabo","Guaynabo","PR","40201","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","13","Funds Expended on Capital","0",,"0",,"0",,"0",,"0",,"0",
"Mid-Cumberland Human Resource Agency, dba: Mid-Cumberland HRA","Nashville","TN","40204","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","60733","Murfreesboro, TN","177313","109","Funds Expended on Capital","0",,"0",,"118692",,"407691",,"1055087",,"1581470",
"Mid-Cumberland Human Resource Agency, dba: Mid-Cumberland HRA","Nashville","TN","40204","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","60733","Murfreesboro, TN","177313","109","Funds Expended on Operations","821943",,"0",,"0",,"1540494",,"4053887",,"6416324",
"The County of Iredell, dba: Iredell County Area Transportation Services","Statesville","NC","40205","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","27","Funds Expended on Capital","68472",,"0",,"61970",,"127290",,"295824",,"553556",
"The County of Iredell, dba: Iredell County Area Transportation Services","Statesville","NC","40205","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","27","Funds Expended on Operations","914653",,"0",,"159001",,"474779",,"1106658",,"2655091",
"Berkeley Charleston Dorchester RTMA, dba: TriCounty Link","Moncks Corner","SC","40206","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","15508","Charleston, SC","684773","28","Funds Expended on Capital","0",,"0",,"104371",,"183730",,"1093944",,"1382045",
"Berkeley Charleston Dorchester RTMA, dba: TriCounty Link","Moncks Corner","SC","40206","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","15508","Charleston, SC","684773","28","Funds Expended on Operations","154465",,"0",,"1042132",,"141903",,"1232563",,"2571063",
"City of Clemson, dba: Clemson Area Transit","Clemson","SC","40208","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","02420","Anderson--Clemson, SC","118369","17","Funds Expended on Capital","0",,"0",,"10398",,"24000",,"4319425",,"4353823",
"City of Clemson, dba: Clemson Area Transit","Clemson","SC","40208","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","02420","Anderson--Clemson, SC","118369","17","Funds Expended on Operations","931562",,"0",,"1131985",,"85755",,"1439431",,"3588733",
"Hoke County, dba: Hoke Area Transit Service","Raeford","NC","40209","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","12","Funds Expended on Capital","0",,"0",,"1613521",,"0",,"178128",,"1791649",
