"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fares","fares_questionable","park_and_ride","park_and_ride_questionable","concessions","concessions_questionable","advertising","advertising_questionable","other","other_questionable","purchased_transportation","purchased_transportation_1","total","total_questionable"
"Municipality of Mayaguez","Mayaguez","PR","40194","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","55738","Mayagüez, PR","91583","20","0",,,,,,,,"19999",,,,"19999",
"Municipality of San Lorenzo","San Lorenzo","PR","40195","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","9","0",,,,,,,,,,,,"0",
"Municipality of Lares","Lares","PR","40197","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00072","Puerto Rico Non-UZA","463143","4","0",,,,,,,,"0",,"0",,"0",
"Municipality of Dorado","Dorado","PR","40198","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","6","0",,,,,,,,"0",,"0",,"0",
"Autonomous Municipality of Vega Alta, dba: Municipio Autonomo de Vega Alta","Vega Alta","PR","40199","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","10","0",,,,,,,,"0",,"0",,"0",
"Municipality of Guaynabo","Guaynabo","PR","40201","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","13","0",,,,,,,,,,,,"0",
"Mid-Cumberland Human Resource Agency, dba: Mid-Cumberland HRA","Nashville","TN","40204","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","60733","Murfreesboro, TN","177313","109","364376",,,,,,,,,,"457567",,"821943",
"The County of Iredell, dba: Iredell County Area Transportation Services","Statesville","NC","40205","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","27","895502",,,,,,,,"87623",,,,"983125",
"Berkeley Charleston Dorchester RTMA, dba: TriCounty Link","Moncks Corner","SC","40206","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","15508","Charleston, SC","684773","28","71840",,,,,,,,"82625",,,,"154465",
"City of Clemson, dba: Clemson Area Transit","Clemson","SC","40208","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","02420","Anderson--Clemson, SC","118369","17","0",,,,,,,,"0",,"931562",,"931562",
"Hoke County, dba: Hoke Area Transit Service","Raeford","NC","40209","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","12","336705",,,,,,,,"0",,"0",,"336705",
"Craven County, dba: Craven Area Rural Transit System","New Bern","NC","40210","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","36007",,,,,,,,"203316",,,,"239323",
"Autauga County, dba: Autauga County Rural Transportation","Prattville","AL","40213","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58600","Montgomery, AL","254348","11","31836",,,,,,,,"0",,"0",,"31836",
"Cabarrus County, dba: Cabarrus County Transportation","Concord","NC","40214","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","21","1710",,,,,,,,,,"113692",,"115402",
"Union County, dba: Union County Transportation","Monroe","NC","40215","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","23","814",,,,,,,,"0",,"0",,"814",
"Rowan County","Salisbury","NC","40217","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","22","7906",,,,,,,,,,,,"7906",
"City of La Grange, dba: Oldham's Public Bus","La Grange","KY","40218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","4665",,,,,,,,,,,,"4665",
"Pitt County, dba: Pitt Area Transit System","Greenville","NC","40220","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35380","Greenville, NC","120150","16","309743",,,,,,,,,,"442800",,"752543",
"Gaston County, dba: ACCESS Transportation","Gastonia","NC","40221","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32653","Gastonia, NC","176897","15","233618",,,,,,,,"32704",,,,"266322",
"Wake County, dba: GoWake Access","Raleigh","NC","40222","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","73261","Raleigh, NC","1106646","43","4139965",,,,,,,,"0",,"27264",,"4167229",
"Cumberland County, dba: Cumberland County Community Transportation Program","Fayetteville","NC","40223","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","15","45370",,,,,,,,"1150",,,,"46520",
"Buncombe County, dba: Mountain Mobility","Asheville","NC","40224","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03358","Asheville, NC","285776","26","787360",,,,,,,,"0",,,,"787360",
"Alamance County Transportation Authority","Burlington","NC","40225","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","11728","Burlington, NC","145311","27","0",,,,,,,,"16850",,"0",,"16850",
"Mountain Projects, Inc., dba: Haywood Public Transit","Waynesville","NC","40226","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","25675",,,,,,,,"259728",,,,"285403",
"Onslow United Transit System","Jacksonville","NC","40227","Private-Non-Profit Corporation","Reduced Reporter","2024","42400","Jacksonville, NC","111224","20","1124266",,,,,,,,"12134",,"85308",,"1221708",
"Mecklenburg County, dba: Mecklenburg Transportation System","Charlotte","NC","40228","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15670","Charlotte, NC--SC","1379873","148","1494229","Q",,,,,,,,,,,"1494229",
"Henderson County, dba: Apple Country Public Transit","Hendersonville","NC","40229","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03358","Asheville, NC","285776","4","35552",,,,,,,,,,,,"35552",
"Orange County, dba: Orange County Public Transit","Hillsborough","NC","40231","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","25228","Durham, NC","396118","19","61545",,,,,,,,"0",,,,"61545",
"Central Florida Commuter Rail, dba: SunRail","Tallahassee","FL","40232","State Government Unit or Department of Transportation","Full Reporter","2024","65863","Orlando, FL","1853896","21","2110417",,,,,,"128654",,"0",,,,"2239071",
"City of Salisbury, dba: Salisbury Transit","Salisbury","NC","40233","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","5","54435",,,,,,,,"30467",,"0",,"84902",
"Autonomous Municipality of Ponce, dba: SITRAS","Ponce","PR","40234","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70642","Ponce, PR","118345","28","0",,,,,,,,,,,,"0",
"Aiken Area Council on Aging, Inc.","Aiken","SC","40235","Area Agency on Aging","Reduced Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","22","771970",,,,,,,,"189747",,"545192",,"1506909",
"Lancaster County Council on Aging, dba: Lancaster Area Ride Service","Lancaster","SC","40237","Private-Non-Profit Corporation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","14","47984",,,,,,,,"80951",,"297298",,"426233",
"City of Coconut Creek","Coconut Creek","FL","40238","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","3","0",,,,,,,,"0",,"0",,"0",
"City of Deerfield Beach, dba: Deerfield Beach Express Community Shuttle","Deerfield Beach","FL","40239","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","0",,,,,,,,,,,,"0",
"City of Lighthouse Point","Lighthouse Point","FL","40240","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","1","0",,,,,,,,"0",,"0",,"0",
"City of Miramar","Miramar","FL","40241","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","6","0",,,,,,,,"0",,"0",,"0",
"Spartanburg Regional Health Services, Inc.","Spartanburg","SC","40244","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","83548","Spartanburg, SC","196943","28","1278089",,,,,,,,,,,,"1278089",
"Town of Hillsboro Beach, dba: Hillsboro Community Shuttle","Hillsboro Beach","FL","40248","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","1","0",,,,,,,,,,,,"0",
"City of Hallandale Beach, dba: Hallandale Beach Minibus","Hallandale Beach","FL","40249","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","9","0",,,,,,,,"0",,"0",,"0",
"City of Lauderdale Lakes","Lauderdale Lakes","FL","40250","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","0",,,,,,,,"0",,"0",,"0",
"City of Pembroke Pines","Pembroke Pines","FL","40251","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","7","0",,,,,,,,"0",,"0",,"0",
"City Of Burlington, dba: Link Transit","Burlington","NC","40252","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","11728","Burlington, NC","145311","7","44562",,,,"6530",,,,"0",,,,"51092",
"City of Coral Springs, dba: Community Shuttle","Coral Springs","FL","40253","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","0",,,,,,,,"0",,"0",,"0",
"City of Lauderhill","Lauderhill","FL","40254","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","7","0",,,,,,,,,,,,"0",
"City of Hollywood","Hollywood","FL","40255","City, County or Local Government Unit or Department of Transportation","Planning Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","0",,,,,,,,,,,,,,
"City of Margate, dba: Community Bus Svc and Margate Inner-City Transit","Margate","FL","40256","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","8","0",,,,,,,,,,,,"0",
"City of Pompano Beach, dba: Community Shuttle Program","Pompano Beach","FL","40257","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","4","0",,,,,,,,,,,,"0",
"City of Dania Beach, dba: Community Bus Service","Dania","FL","40261","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","3","0",,,,,,,,"0",,"0",,"0",
"Town of Davie","Davie","FL","40262","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","6","0",,,,,,,,,,,,"0",
"North Central Alabama Regional Council of Governments, dba: NARCOG Regional Transit Agency","Decatur","AL","40265","MPO, COG or Other Planning Agency","Reduced Reporter","2024","22690","Decatur, AL","60458","9","51404",,,,,,,,,,,,"51404",
"Municipality of Ciales","Ciales","PR","40268","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","1","0",,,,,,,,"0",,"0",,"0",
"Municipality of Añasco","Anasco","PR","40269","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","5","0",,,,,,,,"0",,"0",,"0",
"City of Rock Hill, dba: My Ride","Rock Hill","SC","40270","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","75745","Rock Hill, SC","218443","8","0",,,,,,,,"29197",,"0",,"29197",
"Florida Department of Transportation, District 1 Office, dba: Commute Connector","Tallahassee","FL","40271","State Government Unit or Department of Transportation","Full Reporter","2024","13510","Cape Coral, FL","599242","46","433907",,,,,,,,,,,,"433907",
"Brevard Alzheimer's Foundation Inc., dba: BAFi","Melbourne","FL","40273","Private-Non-Profit Corporation","Reduced Reporter","2024","67105","Palm Bay--Melbourne, FL","510675","16","71432",,,,,,,,"0",,"0",,"71432",
"Town of Morrisville, dba: Morrisville Smart Shuttle","Morrisville","NC","40274","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","2","0",,,,,,,,,,,,"0",
"City of North Lauderdale, dba: City of North Lauderdale Community Shuttle","North Lauderdale","FL","40275","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","0",,,,,,,,"0",,"0",,"0",
"City of Valdosta, dba: Valdosta On Demand","Valdosta","GA","40276","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","89974","Valdosta, GA","76769","12","110935",,,,,,,,,,,,"110935",
"Town of Apex, dba: GoApex","Apex","NC","40277","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","2","0",,,,,,,,"0",,"0",,"0",
"Municipality of Cabo Rojo","Cabo Rojo","PR","40278","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","78985","San Germán--Cabo Rojo--Sabana Grande, PR","97241","7","0",,,,,,,,,,"0",,"0",
"Municipality of Canovanas","Canovanas","PR","40279","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","12","0",,,,,,,,,,,,"0",
"Municipality of Corozal","Corozal","PR","40280","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","3","0",,,,,,,,"0",,"0",,"0",
"Macon County","Oglethorpe","GA","40903","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","4807",,,,,,,,,,"143776",,"148583",
"Rabun County, dba: Rabun County Dial-A-Ride","Clayton","GA","40904","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","7026",,,,,,,,,,,,"7026",
"Three Rivers Regional Commission","Griffin","GA","40905","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"29","73589",,,,,,,,,,"1319873",,"1393462",
"Blount County Commission","Oneonta","AL","40907","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","31984",,,,,,,,"0",,"0",,"31984",
"Heard County","Franklin","GA","40908","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","2496",,,,,,,,,,"7296",,"9792",
"Middle Kentucky River Area Development Council, Inc.","Jackson","KY","40909","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","5160",,,,,,,,,,,,"5160",
"Peach County","Fort Valley","GA","40910","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","5983",,,,,,,,,,"47541",,"53524",
"Crisp County, dba: Crisp Area Regional Transit (CART)","Cordele","GA","40912","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","4353",,,,,,,,,,"273910",,"278263",
"Graham County","Robbinsville","NC","40913","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0",,,,,,,,"420120",,,,"420120",
"Duplin County","Kenansville","NC","40915","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0",,,,,,,,"617103",,,,"617103",
"Wilkes Transportation Authority","Wilkesboro","NC","40918","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"24","109961",,,,,,,,"820689",,,,"930650",
"Ride Solution","Palatka","FL","40920","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","158648",,,,,,,,"108483",,,,"267131",
"Randolph County Senior Adult Association Inc., dba: Randolph Coordinated Area Transportation System","Asheboro","NC","40921","Area Agency on Aging","Rural Reporter","2024",,,,"17","17451",,,,,,,,"360475",,,,"377926",
"South Central Community Action Agency, Inc.","Mendenhall","MS","40922","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","67832",,,,,,,,"366719",,"0",,"434551",
"Liberty County Board of County Commissioners, dba: Liberty Transit","Bristol","FL","40923","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","78783",,,,,,,,"0",,"0",,"78783",
"Warren County Commission, dba: Warren County Transit","Warrenton","GA","40924","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","2502",,,,,,,,,,,,"2502",
"Pulaski County","Hawkinsville","GA","40925","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","5525",,,,,,,,,,,,"5525",
"Escambia County Commission, dba: Escambia County Alabama Transit System","Brewton","AL","40926","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","26426",,,,,,,,,,,,"26426",
"Baldwin County Commission, dba: Baldwin Regional Area Transit System","Bay Minette","AL","40928","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","28766","Fairhope--Daphne, AL","76807","28","312612",,,,,,"42550",,"0",,,,"355162",
"Rockingham County Council on Aging","Reidsville","NC","40929","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","17697",,,,,,,,"715032",,,,"732729",
"Baldwin County","Milledgeville","GA","40931","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","17750",,,,,,,,,,,,"17750",
"Sampson County","Clinton","NC","40933","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","50429",,,,,,,,"384949",,,,"435378",
"Polk County Transportation Authority","Columbus","NC","40934","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","19097",,,,,,,,"71143",,,,"90240",
"Wilkinson County Commission","Irwinton","GA","40936","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","7826",,,,,,,,,,,,"7826",
"Pender Adult Services, Inc.","Burgaw","NC","40938","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","28940",,,,,,,,"395834",,,,"424774",
"Rural Transit Enterprises Coordinated, Inc.","Mount Vernon","KY","40941","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"160","349570",,,,,,,,,,,,"349570",
"Lincoln County","Lincolnton","NC","40942","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0",,,,,,,,"1006226",,,,"1006226",
"Community and Senior Services of Johnston County Inc., dba: Johnston County Area Transit System","Smithfield","NC","40943","Private-Non-Profit Corporation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","29","2872612",,,,,,,,"110132",,,,"2982744",
"Carteret County","Beaufort","NC","40944","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","75765",,,,,,,,"368810",,,,"444575",
"Putnam County Commission","Eatonton","GA","40945","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","30893",,,,,,,,,,,,"30893",
"Jones County","Gray","GA","40946","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","5430",,,,,,,,,,,,"5430",
"Gates County","Gatesville","NC","40947","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","4165",,,,,,,,"282140",,,,"286305",
"Bluegrass Community Action Agency","Frankfort","KY","40948","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"119","180727",,,,,,,,,,,,"180727",
"First Tennessee Human Resource Agency, dba: Northeast Tennessee Regional Public Transit","Johnson City","TN","40950","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","43210","Johnson City, TN","128519","61","2099665",,,,,,,,"0",,,,"2099665",
"Burke County","Waynesboro","GA","40951","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","20545",,,,,,,,,,,,"20545",
"Williamsburg County","Kingstree","SC","40952","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19","415114",,,,,,,,"0",,"0",,"415114",
"Pennyrile Allied Community Services, Inc.","Hopkinsville","KY","40953","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"112","186097",,,,,,,,,,,,"186097",
"South Central Tennessee Development District, dba: South Central Area Transit Service","Mt Pleasant","TN","40954","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","84088","Spring Hill, TN","60309","124","2901071",,,,,,,,,,,,"2901071",
"Hinds County Human Resource Agency","Jackson","MS","40955","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","17485",,,,,,,,"198827",,"0",,"216312",
"Dodge County","Eastman","GA","40956","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","6793",,,,,,,,,,,,"6793",
"N-Route","Vicksburg","MS","40957","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"17","17363",,,,,,,,"0",,"0",,"17363",
"Municipality of Orocovis","Orocovis","PR","40958","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","2","0",,,,,,,,,,,,"0",
"Washington County, dba: Riverlight Transit","Plymouth","NC","40959","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","258",,,,,,,,"231604",,,,"231862",
"Etowah County Commission, dba: Etowah County Rural Transportation","Gadsden","AL","40960","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","48535",,,,,,,,,,"0",,"48535",
"Lincoln County, dba: Leisure Services","Lincolnton","GA","40961","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","2698",,,,,,,,,,,,"2698",
"Madison County Commission, dba: Madison County Commission TRAM","Huntsville","AL","40963","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","37682",,,,,,,,,,,,"37682",
"Cullman County Commission, dba: Cullman Area Rural Transportation System","Cullman","AL","40965","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"30","36333",,,,,,,,"0",,"0",,"36333",
"Gulf County ARC, dba: Arc on the Gulf, Inc","Port Saint Joe","FL","40968","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","8087",,,,,,,,,,,,"8087",
"Madison County Citizens Services Agency","Canton","MS","40969","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","42754",,,,,,,,"147710",,"0",,"190464",
"Licking Valley CAP","Flemingsburg","KY","40971","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68","106919",,,,,,,,,,,,"106919",
"Gateway Community Services Organization","West Liberty","KY","40972","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","4071",,,,,,,,,,,,"4071",
"Bamberg County Office On Aging","Bamberg","SC","40974","Area Agency on Aging","Rural Reporter","2024",,,,"33","1032535",,,,,,,,"0",,"0",,"1032535",
"Madison County Transportation Authority","Marshall","NC","40976","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0",,,,,,,,"389872",,,,"389872",
"Jefferson County, dba: Jefferson Transit","Louisville","GA","40977","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","50271",,,,,,,,,,,,"50271",
"Upper-Cumberland Human Resource Agency","Cookeville","TN","40978","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"102","320528",,,,,,,,"1794222",,,,"2114750",
"KY River Foothills Development Council, Inc.","Richmond","KY","40979","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","53112",,,,,,,,,,,,"53112",
"H.EL.P., Inc.","Carrollton","AL","40982","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","10868",,,,,,,,"0",,"0",,"10868",
"Rutherford County","Rutherfordton","NC","40983","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0",,,,,,,,"516344",,,,"516344",
"Western Carolina Community Action, dba: WNC Source","Hendersonville","NC","40984","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","10628",,,,,,,,"72336",,,,"82964",
"Banks County","Homer","GA","40985","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","2934",,,,,,,,,,"20332",,"23266",
"Dekalb County Commission, dba: DeKalb County Rural Public Transportation","Fort Payne","AL","40986","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0",,,,,,,,"0",,"0",,"0",
"Copiah County Human Resource Agency","Hazlehurst","MS","40987","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","100",,,,,,,,"0",,"0",,"100",
"Edgefield County Senior Citizens Council","Edgefield","SC","40988","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","335219",,,,,,,,"0",,"0",,"335219",
"Southeast Tennessee Human Resource Agency-Rural Division","Dunlap","TN","40989","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"83","309007",,,,,,,,"1234588",,,,"1543595",
"Martin County","Williamston","NC","40990","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","368",,,,,,,,"174156",,,,"174524",
"Municipality of Utuado","Utuado","PR","40991","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0",,,,,,,,"0",,"0",,"0",
"Wilson County","Wilson","NC","40993","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","39835",,,,,,,,"141426",,,,"181261",
"Habersham County","Clarkesville","GA","40994","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","8003",,,,,,,,,,"18014",,"26017",
"Caswell County","Yanceyville","NC","40996","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","1661",,,,,,,,"219293",,,,"220954",
"Owen County Fiscal Court","Owenton","KY","40997","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","13932",,,,,,,,,,,,"13932",
"Sumter County Board of County Commissioners, dba: Sumter County Transit","Wildwood","FL","40999","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","87285","The Villages--Lady Lake, FL","161736","22","18784",,,,,,,,"4000",,"0",,"22784",
"Generations Unlimited","Barnwell","SC","41002","Area Agency on Aging","Rural Reporter","2024",,,,"4","517661",,,,,,,,"0",,"0",,"517661",
"Fairfield County Transit System","Winnsboro","SC","41003","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","89503",,,,,,,,"0",,"0",,"89503",
"Chatham Transit Network","Pittsboro","NC","41004","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","106546",,,,,,,,"634994",,,,"741540",
"Sandy Valley Transportation Services","Prestonsburg","KY","41006","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"76","134365",,,,,,,,,,,,"134365",
"Dade County","Trenton","GA","41007","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","2981",,,,,,,,,,,,"2981",
"Jenkins County","Millen","GA","41008","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","2166",,,,,,,,,,,,"2166",
"City of Guntersville, dba: Guntersville Public Transportation","Guntersville","AL","41009","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","8643",,,,,,,,"31351",,,,"39994",
"Person County","Roxboro","NC","41010","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","57051",,,,,,,,"286214",,,,"343265",
"Chattooga County","Summerville","GA","41012","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","18498",,,,,,,,,,,,"18498",
"Paducah Transit Authority, dba: Paducah Area Transit System","Paducah","KY","41013","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","66781","Paducah, KY--IL","50833","28","2064116",,,,,,,,,,,,"2064116",
"Dooly County","Vienna","GA","41017","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","6913",,,,,,,,,,"330629",,"337542",
"Troup County, dba: Troup Transit","Lagrange","GA","41019","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","7506",,,,,,,,,,"149507",,"157013",
"Delta Human Resource Agency","Covington","TN","41020","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","61873",,,,,,,,"197478",,,,"259351",
"Elbert County, dba: Elbert Transit","Elberton","GA","41021","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","20365",,,,,,,,,,"137288",,"157653",
"Newberry County Council on Aging","Newberry","SC","41022","Area Agency on Aging","Rural Reporter","2024",,,,"23","571444",,,,,,,,"86562",,"0",,"658006",
