"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_fund","income_tax","sales_tax","property_tax","fuel_tax","other_taxes","tolls","other_funds","reduced_reporter_funds","total"
"Regional Transit Service","Rochester","NY","20947","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","342228","342228"
"Sussex County, dba: Skylands Ride","Newton","NJ","20950","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","448655","448655"
"Allegany County, dba: Access Allegany","Belmont","NY","20951","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","62285","62285"
"City of Hornell, dba: Hornell Area Transit","Hornell","NY","20953","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","29415","29415"
"Town of Goshen, dba: Town of Goshen and Chester Dial-A-Bus","Goshen","NY","20954","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","2802","2802"
"County of Niagara, dba: Connect Niagara","Lockport","NY","20957","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","0","0","0","0","0","0","364962","364962"
"Cortland County, dba: Way to Go Cortland","Cortland","NY","20958","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","37528","37528"
"Chautauqua County, dba: CHQ Transit","Mayville","NY","20959","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"25","0","0","0","0","0","0","0","0","780102","780102"
"City of Oneonta, dba: Oneonta Public Transit","Oneonta","NY","20960","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","149776","149776"
"Regional Transit Service","Rochester","NY","20962","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","1441586","1441586"
"Regional Transit Service","Rochester","NY","20967","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","2292859","2292859"
"County of Rensselaer","East Greenbush","NY","20968","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","0","0","0","0","0","135666","135666"
"Town of Montgomery, dba: Montgomery and Crawford Dial-A-Ride Transportation","Montgomery","NY","20973","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","5964","5964"
"City of Olean, dba: Olean Area Transit System","Olean","NY","20975","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","19848","19848"
"Regional Transit Service","Rochester","NY","20980","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","2262531","2262531"
"City of Gloversville, dba: Gloversville Transit System","Gloversville","NY","20981","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","0","0","0","0","0","0","128054","128054"
"Regional Transit Service","Rochester","NY","20983","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","0","0","0","0","0","0","0","0","1862557","1862557"
"City of Port Jervis, dba: City of Port Jervis Dial-A-Bus","Port Jervis","NY","20988","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","2234","2234"
"St Lawrence County, dba: St Lawrence County Public Transit","Canton","NY","20991","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"22","0","0","0","0","0","0","0","0","92952","92952"
"Franklin County, dba: Franklin County Public Transportation","Malone","NY","20992","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","0","0","0","0","0","0","130365","130365"
"Otsego County, dba: Otsego Express","Cooperstown","NY","20998","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","47166","47166"
"Columbia County, dba: Columbia County Public Transportation","Hudson","NY","20999","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","272477","272477"
"Yates County, dba: Yates Transit Service","Penn Yan","NY","21000","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","0","0","0","0","0","0","17623","17623"
"Seneca Nation of Indians","Salamanca","NY","22929","Tribe","Reduced Reporter","2024","00036","New York Non-UZA","3425270","3","0","0","0","0","0","0","0","0","112099","112099"
"New York City Economic Development Corporation","New York","NY","22930","Private-Non-Profit Corporation","Full Reporter","2024","63217","New York--Jersey City--Newark, NY--NJ","19426449","30","14780478","0","0","0","0","0","0","55153621","0","69934099"
"Kanawha Valley Regional Transportation Authority","Charleston","WV","30001","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","15481","Charleston, WV","140958","45","0","0","0","8968044","0","0","0","0","0","8968044"
"The Tri-State Transit Authority","Huntington","WV","30002","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","40753","Huntington, WV--KY--OH","200157","33","0","0","0","3670342","0","0","0","0","0","3670342"
"Mid-Ohio Valley Transit Authority, dba: Easy Rider","Parkersburg","WV","30003","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","67672","Parkersburg, WV--OH","62500","13","0","0","0","0","0","0","0","0","3296427","3296427"
"Greater Richmond Transit Company","Richmond","VA","30006","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","74746","Richmond, VA","1059150","247","15912053","0","17148875","0","5765175","0","0","0","0","38826103"
"Greater Roanoke Transit Company, dba: Valley Metro","Roanoke","VA","30007","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","75421","Roanoke, VA","217312","41","3491889","0","0","0","0","0","0","0","0","3491889"
"Greater Lynchburg Transit Company","Lynchburg","VA","30008","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","52201","Lynchburg, VA","125596","22","2312243","0","0","0","0","0","0","0","0","2312243"
"City of Petersburg, dba: Petersburg Area Transit","Petersburg","VA","30009","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","74746","Richmond, VA","1059150","16","0","0","0","0","0","0","0","0","1107779","1107779"
"Lehigh and Northampton Transportation Authority","Allentown","PA","30010","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","01495","Allentown--Bethlehem, PA--NJ","621703","140","1509838","0","0","0","0","0","0","0","0","1509838"
"Altoona Metro Transit, dba: AMTRAN","Altoona","PA","30011","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","01792","Altoona, PA","74426","21","258756","0","0","0","0","0","0","0","0","258756"
"Cambria County Transit Authority, dba: CamTran","Johnstown","PA","30012","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","43291","Johnstown, PA","61521","46","0","0","0","1172866","0","0","0","0","0","1172866"
"Erie Metropolitan Transit Authority, dba: the e","Erie","PA","30013","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","27766","Erie, PA","187820","81","1383867","0","0","0","0","0","0","0","0","1383867"
"Luzerne County Transportation Authority","Wilkes Barre","PA","30015","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80227","Scranton, PA","366713","66","805165","0","0","0","0","0","0","0","0","805165"
"Southeastern Pennsylvania Transportation Authority","Philadelphia","PA","30019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69076","Philadelphia, PA--NJ--DE--MD","5696125","1943","338273646","0","0","0","0","0","0","0","0","338273646"
"Pittsburgh Regional Transit","Pittsburgh","PA","30022","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69697","Pittsburgh, PA","1745039","766","7111169","0","42057406","8385119","0","0","0","0","0","57553694"
"Beaver County Transit Authority","Rochester","PA","30023","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69697","Pittsburgh, PA","1745039","29","772486","0","0","0","0","0","0","0","0","772486"
"County of Lackawanna Transit System","Scranton","PA","30025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","80227","Scranton, PA","366713","75","2261682","0","0","0","0","0","0","0","0","2261682"
"Washington Metropolitan Area Transit Authority, dba: Washington Metro","Washington","DC","30030","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","2774","2153160969","0","0","0","0","0","0","0","0","2153160969"
"Maryland Transit Administration, dba: MTA","Baltimore","MD","30034","State Government Unit or Department of Transportation","Full Reporter","2024","04843","Baltimore, MD","2212038","1834","0","0","0","0","0","0","0","0","0","0"
"Ohio Valley Regional Transportation Authority","Wheeling","WV","30035","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","94726","Wheeling, WV--OH","57695","17","1000","0","0","0","0","0","0","0","0","1000"
"City of Charlottesville, dba: Charlottesville Area Transit","Charlottesville","VA","30036","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15724","Charlottesville, VA","104191","19","0","0","0","0","0","0","0","0","4337818","4337818"
"City of Annapolis, dba: Annapolis Transit","Annapolis","MD","30040","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04843","Baltimore, MD","2212038","12","0","0","0","0","0","0","0","0","2647535","2647535"
"Board of Commissioners of Allegany County Maryland, dba: Allegany County Transit","Cumberland","MD","30041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0","0","0","0","0","469934","469934"
"Washington County, dba: Washington County Transit","Hagerstown","MD","30042","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","36190","Hagerstown, MD--WV--PA--VA","197557","12","0","0","0","0","0","0","0","0","689298","689298"
"Westmoreland County Transit Authority","Greensburg","PA","30044","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69697","Pittsburgh, PA","1745039","76","496106","0","0","0","0","0","0","0","0","496106"
"JAUNT, Inc.","Charlottesville","VA","30045","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","15724","Charlottesville, VA","104191","68","6611151","0","0","0","0","0","0","0","0","6611151"
"Montgomery County, Maryland, dba: Ride On","Rockville","MD","30051","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","309","0","0","0","128540521","0","3766220","0","0","0","132306741"
"City of Bristol Virginia, dba: Bristol Virginia Transit","Bristol","VA","30053","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","10351","Bristol, TN--VA","70638","6","0","0","0","0","0","0","0","0","5255","5255"
"Centre Area Transportation Authority","State College","PA","30054","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","84493","State College, PA","83674","78","965124","0","0","0","0","0","0","0","0","965124"
"Mercer County Regional Council of Governments, dba: Shenango Valley Shuttle Service /MCCT","Sharon","PA","30055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00042","Pennsylvania Non-UZA","4196634","26","0","0","0","0","0","0","0","0","84052","84052"
"Pennsylvania Department of Transportation","Harrisburg","PA","30057","State Government Unit or Department of Transportation","Full Reporter","2024","69076","Philadelphia, PA--NJ--DE--MD","5696125","20","0","0","0","0","0","0","0","0","0","0"
"City of Fairfax, dba: CUE Bus","Fairfax","VA","30058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","8","3363474","0","0","0","0","0","0","0","0","3363474"
"Mid Mon Valley Transit Authority","Charleroi","PA","30061","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69697","Pittsburgh, PA","1745039","22","110165","0","0","0","0","0","0","0","0","110165"
"Fairfax County, VA, dba: Fairfax Connector Bus System","Fairfax","VA","30068","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","275","46855650","0","12246708","27430952","3547187","0","4319155","42299884","0","136699536"
"City of Danville, dba: Danville Transit","Danville","VA","30069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","644272","644272"
"Potomac and Rappahannock Transportation Commission, dba: OmniRide","Woodbridge","VA","30070","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","450","16578304","0","0","0","0","0","0","0","0","16578304"
"City of Alexandria, dba: DASH","Alexandria","VA","30071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","91","44677851","0","5775344","0","0","0","0","0","0","50453195"
"Frederick County, Maryland, dba: TransIt Services of Frederick","Frederick","MD","30072","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","31519","Frederick, MD","176456","36","4154132","0","0","0","0","0","0","0","0","4154132"
"Virginia Railway Express","Woodbridge","VA","30073","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","99","16000000","0","1907243","0","0","0","0","0","0","17907243"
"Harford County Maryland, dba: Harford Transit LINK","Bel Air","MD","30074","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","06290","Bel Air--Aberdeen, MD","214647","24","0","0","0","0","0","0","0","0","3074933","3074933"
"Delaware Transit Corporation","Dover","DE","30075","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69076","Philadelphia, PA--NJ--DE--MD","5696125","502","0","0","0","0","0","0","0","0","0","0"
"Williamsburg Area Transit Authority","Williamsburg","VA","30076","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","95411","Williamsburg, VA","89585","23","1522871","0","0","0","0","0","0","0","0","1522871"
"Borough of Pottstown, dba: Pottstown Area Rapid Transit","Pottstown","PA","30077","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","69076","Philadelphia, PA--NJ--DE--MD","5696125","6","114599","0","0","0","0","0","0","0","0","114599"
"Southwestern Pennsylvania Commission, dba: CommuteInfo","Pittsburgh","PA","30078","MPO, COG or Other Planning Agency","Full Reporter","2024","69697","Pittsburgh, PA","1745039","17","0","0","0","0","0","0","0","0","0","0"
"City of Fredericksburg, dba: Fredericksburg Regional Transit","Fredericksburg","VA","30079","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","31600","Fredericksburg, VA","167679","20","0","0","0","0","0","0","0","0","773615","773615"
"Arlington County, Virginia, dba: Arlington Transit","Arlington","VA","30080","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","83","372776","0","0","19357898","0","0","0","0","0","19730674"
"Loudoun County, dba: Loudoun County Transit","Leesburg","VA","30081","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","71","18710350","0","0","0","0","0","0","0","0","18710350"
"Transportation District Commission of Hampton Roads, dba: Hampton Roads Transit","Hampton","VA","30083","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","90892","Virginia Beach--Norfolk, VA","1451578","366","48289462","0","0","0","0","0","0","2737979","0","51027441"
"Prince George's County, Maryland, dba: Prince George's County Transit/TheBus","Upper Marlboro","MD","30085","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","110","21500018","0","0","0","0","0","0","0","0","21500018"
"County of Fayette, dba: Fayette Area Coordinated Transportation","Uniontown","PA","30087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","00042","Pennsylvania Non-UZA","4196634","29","271248","0","0","0","0","0","0","0","0","271248"
"County Commissioners of Charles County, MD, dba: PGM VanGO","La Plata","MD","30088","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","91261","Waldorf, MD","118601","33","6103579","0","0","0","0","0","0","0","0","6103579"
"Monongalia County Urban Mass Transit Authority, dba: Mountain Line Transit Authority","Morgantown","WV","30089","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","59275","Morgantown, WV","77620","28","0","0","0","0","0","0","0","0","5322786","5322786"
"Eastern Panhandle Transit Authority","Martinsburg","WV","30090","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","36190","Hagerstown, MD--WV--PA--VA","197557","27","0","0","0","0","0","0","0","0","1287437","1287437"
"Town of Blacksburg, dba: Blacksburg Transit","Blacksburg","VA","30091","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","08002","Blacksburg--Christiansburg, VA","72400","36","0","0","0","656712","0","0","0","0","0","656712"
"The County Commissioners of Carroll County, Maryland, dba: Carroll Transit System","Westminster","MD","30092","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","31519","Frederick, MD","176456","23","0","0","0","0","0","0","0","0","476314","476314"
"City of Hazleton, dba: Hazleton Public Transit","Hazleton","PA","30093","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","37945","Hazleton, PA","50860","11","0","0","0","0","0","0","0","0","262309","262309"
"City of Harrisonburg","Harrisonburg","VA","30094","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","37162","Harrisonburg, VA","73377","33","867273","0","0","0","0","0","0","0","0","867273"
"County of Lebanon Transit Authority, dba: Lebanon Transit","Lebanon","PA","30095","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","48664","Lebanon, PA","75485","24","145245","0","0","0","0","0","0","0","0","145245"
"The Tri-County Council for the Lower Eastern Shore of Maryland, dba: Shore Transit","Salisbury","MD","30096","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","78364","Salisbury, MD--DE","78075","30","2625020","0","0","0","0","0","0","0","0","2625020"
"City of Winchester, dba: WinTran","Winchester","VA","30099","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","96103","Winchester, VA","83377","12","0","0","0","0","0","0","0","0","891712","891712"
"National Capital Region Transportation Planning Board, dba: Commuter Connections","Washington","DC","30106","MPO, COG or Other Planning Agency","Reduced Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","14","0","0","0","0","0","0","0","0","0","0"
"West Virginia University, dba: Personal Rapid Transit","Morgantown","WV","30107","University","Full Reporter","2024","59275","Morgantown, WV","77620","54","0","0","0","0","0","0","0","0","0","0"
"Cecil County Government, dba: Cecil Transit","Elkton","MD","30108","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","69076","Philadelphia, PA--NJ--DE--MD","5696125","19","0","0","0","0","0","0","0","0","1371811","1371811"
"St. Mary's County Government, dba: St. Mary's Transit System","California","MD","30109","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49594","Lexington Park--California--Chesapeake Ranch Estates, MD","62352","21","0","0","0","0","0","0","0","0","2034601","2034601"
"Washington County Transportation Authority, dba: Freedom Transit","Washington","PA","30111","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","69697","Pittsburgh, PA","1745039","54","315095","0","0","0","0","0","0","0","0","315095"
"District Department of Transportation, dba: DC Circulator, DC Streetcar","Washington","DC","30112","State Government Unit or Department of Transportation","Full Reporter","2024","92242","Washington--Arlington, DC--VA--MD","5174759","60","0","0","0","0","0","0","0","0","0","0"
"Accomack-Northhampton Transportation District Comm, dba: STAR Transit","Tasley","VA","30114","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","0","0","0","0","0","0","0","0"
"New River Valley Senior Services, Inc., dba: Pulaski Area Transit","Radford","VA","30115","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","0","0","0","0","0","0","0","0","154726","154726"
"Borough of Mt. Carmel, dba: Lower Anthracite Transportation System","Mount Carmel","PA","30116","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","17147","17147"
"Garrett County Community Action Committee, Inc, dba: Garrett Transit Service","Oakland","MD","30117","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","0","0","0","0","0","0","512913","512913"
"Virginia Regional Transit","Purcellville","VA","30118","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"24","0","0","0","0","0","0","0","0","0","0"
"Central West Virginia Transit Authority","Clarksburg","WV","30119","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","2071806","2071806"
"City of Bluefield","Bluefield","WV","30121","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","506706","506706"
"Randolph County Senior Center, dba: Country Roads Transit","Elkins","WV","30122","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","253095","253095"
"District Three Governmental Cooperative, dba: Mountain Lynx Transit","Marion","VA","30123","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","10351","Bristol, TN--VA","70638","27","0","0","0","0","0","0","0","0","812862","812862"
"Warren County Transit Authority, dba: Transit Authority of Warren County","Warren","PA","30124","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"14","0","0","0","0","0","0","0","0","69564","69564"
"Schuylkill Transportation System","Pottsville","PA","30127","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"40","0","0","0","0","0","0","0","0","109962","109962"
"Anne Arundel County","Annapolis","MD","30129","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04843","Baltimore, MD","2212038","27","12507025","0","0","0","0","0","0","0","0","12507025"
"Baltimore County Department of Public Works Transportation","Towson","MD","30130","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04843","Baltimore, MD","2212038","27","0","0","0","0","0","0","0","0","3592248","3592248"
"Board of County Commissioners of Calvert County, Maryland, dba: Calvert County Public Transportation","Prince Frederick","MD","30131","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49594","Lexington Park--California--Chesapeake Ranch Estates, MD","62352","13","0","0","0","0","0","0","0","0","1189770","1189770"
"Mountain Empire Older Citizens, dba: MetGo!","Big Stone Gap","VA","30132","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"40","0","0","0","0","0","0","0","0","431768","431768"
"Potomac Valley Transit Authority","Petersburg","WV","30135","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"26","0","0","0","0","0","0","0","0","101541","101541"
"Monroe County Transportation Authority, dba: Pocono Pony","Swiftwater","PA","30137","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"34","0","0","0","0","0","0","0","0","224154","224154"
"Barbour Co. Senior Center, dba: Here & There Transit","Philippi","WV","30138","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","0","0","0","0","0","0","428395","428395"
"Mountain Transit Authority","Summersville","WV","30140","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"23","0","0","0","0","0","0","0","0","304702","304702"
"Butler Transit Authority, dba: The Bus","Butler","PA","30141","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","69697","Pittsburgh, PA","1745039","13","0","0","0","0","0","0","0","0","77774","77774"
"Lake Country Area Agency on Aging, dba: Lake Area Bus & Halifax Area Rural Transportation","South Hill","VA","30142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","303630","303630"
"Town of Chincoteague, dba: Pony Express","Panacea","FL","30147","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","0","0"
"Fairmont Marion County Transit Authority","Fairmont","WV","30149","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"26","0","0","0","0","0","0","0","0","1776855","1776855"
"New Castle Area Transit Authority","New Castle","PA","30151","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"51","0","0","0","0","0","0","0","0","373664","373664"
"Mayor and City Council Town of Ocean City","Ocean City","MD","30155","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"43","0","0","0","0","0","0","0","0","1390060","1390060"
"Town of Altavista, dba: Altavista Community Transit System","Altavista","VA","30157","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","0","0","0","0","0","0","45687","45687"
"Little Kanawha Transit Authority","Mount Zion","WV","30162","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","0","0","0","0","0","0","10573","10573"
"Town of Bluefield, dba: Graham Transit","Bluefield","VA","30164","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0","0","0","0","0","111662","111662"
"Town of Farmville, dba: Farmville Area Bus","Farmville","VA","30165","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","0","0","0","0","0","0","94402","94402"
"Endless Mountains Transportation Authority, dba: BeST Transit","Mansfield","PA","30170","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"58","0","0","0","0","0","0","0","0","97408","97408"
"Bay Aging, dba: Bay Transit","Urbanna","VA","30172","Area Agency on Aging","Rural Reporter","2024",,,,"36","0","0","0","0","0","0","0","0","1034766","1034766"
"Appalachian Agency for Senior Citizens, dba: Four County Transit","Cedar Bluff","VA","30174","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"40","0","0","0","0","0","0","0","0","612881","612881"
"Indiana County Transit Authority, dba: IndiGO","Indiana","PA","30177","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"21","0","0","0","0","0","0","0","0","85322","85322"
"Unified Human Services Transportation Systems, Inc, dba: RADAR","Roanoke","VA","30178","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"39","0","0","0","0","0","0","0","0","336819","336819"
"Tri River Transit","West Hamlin","WV","30183","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","0","0","0","0","0","0","0","0","691756","691756"
"Town of Blackstone, dba: Blackstone Area Bus Service","Blackstone","VA","30184","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","0","0","0","0","0","0","125565","125565"
"Crawford Area Transportation Authority","Meadville","PA","30185","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","0","0","0","0","0","0","0","0","98331","98331"
"Preston County Sr. Cit, Inc., dba: Buckwheat Express","Kingwood","WV","30190","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"18","0","0","0","0","0","0","0","0","87708","87708"
"Queen Anne's County, dba: County Ride","Centreville","MD","30192","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04843","Baltimore, MD","2212038","14","0","0","0","0","0","0","0","0","1288420","1288420"
"Mid-County Transit Authority, dba: Town and Country Transit","Kittanning","PA","30194","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"11","0","0","0","0","0","0","0","0","62580","62580"
"Area Transportation Authority of North Central PA","Johnsonburg","PA","30196","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"70","0","0","0","0","0","0","0","0","511410","511410"
"City of Suffolk, dba: Suffolk Transit","Suffolk","VA","30198","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","90892","Virginia Beach--Norfolk, VA","1451578","8","0","0","0","0","0","0","0","0","549219","549219"
"New River Transit Authority, dba: New River Transit","Beckley","WV","30199","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","06139","Beckley, WV","57468","13","0","0","0","0","0","0","0","0","762864","762864"
"City of Radford, dba: Radford Transit","Radford","VA","30200","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","08002","Blacksburg--Christiansburg, VA","72400","12","0","0","0","0","0","0","0","0","646316","646316"
"City of Baltimore, dba: Charm City Circulator","Baltimore","MD","30201","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04843","Baltimore, MD","2212038","21","0","0","0","0","0","8345226","0","0","0","8345226"
"South Central Transit Authority","Lancaster","PA","30202","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","47530","Lancaster--Manheim, PA","394530","163","2153825","0","0","0","0","0","0","0","0","2153825"
"York County, dba: Yorktown Trolley","Yorktown","VA","30203","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","90892","Virginia Beach--Norfolk, VA","1451578","3","0","0","0","0","0","0","0","0","168730","168730"
