"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","income_tax","sales_tax","property_tax","fuel_tax","other_tax","tolls","other_funds","total"
"Mid-Cumberland Human Resource Agency, dba: Mid-Cumberland HRA","Nashville","TN","40204","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","60733","Murfreesboro, TN","177313","109",,,,,,,,
"The County of Iredell, dba: Iredell County Area Transportation Services","Statesville","NC","40205","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","27",,,,,,,,
"Berkeley Charleston Dorchester RTMA, dba: TriCounty Link","Moncks Corner","SC","40206","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","15508","Charleston, SC","684773","28",,,,,,,,
"City of Clemson, dba: Clemson Area Transit","Clemson","SC","40208","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","02420","Anderson--Clemson, SC","118369","17",,,,,,,,
"Hoke County, dba: Hoke Area Transit Service","Raeford","NC","40209","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","12",,,,,,,,
"Craven County, dba: Craven Area Rural Transit System","New Bern","NC","40210","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Autauga County, dba: Autauga County Rural Transportation","Prattville","AL","40213","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58600","Montgomery, AL","254348","11",,,,,,,,
"Cabarrus County, dba: Cabarrus County Transportation","Concord","NC","40214","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","21",,,,,,,,
"Union County, dba: Union County Transportation","Monroe","NC","40215","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","23",,,,,,,,
"Rowan County","Salisbury","NC","40217","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","22",,,,,,,,
"City of La Grange, dba: Oldham's Public Bus","La Grange","KY","40218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Pitt County, dba: Pitt Area Transit System","Greenville","NC","40220","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35380","Greenville, NC","120150","16",,,,,,,,
"Gaston County, dba: ACCESS Transportation","Gastonia","NC","40221","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32653","Gastonia, NC","176897","15",,,,,,,,
"Wake County, dba: GoWake Access","Raleigh","NC","40222","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","73261","Raleigh, NC","1106646","43",,"846768",,,,"0",,"846768"
"Cumberland County, dba: Cumberland County Community Transportation Program","Fayetteville","NC","40223","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","15",,,,,,,,
"Buncombe County, dba: Mountain Mobility","Asheville","NC","40224","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03358","Asheville, NC","285776","26",,,,,,,,
"Alamance County Transportation Authority","Burlington","NC","40225","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","11728","Burlington, NC","145311","27",,,,,,,,
"Mountain Projects, Inc., dba: Haywood Public Transit","Waynesville","NC","40226","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16",,,,,,,,
"Onslow United Transit System","Jacksonville","NC","40227","Private-Non-Profit Corporation","Reduced Reporter","2024","42400","Jacksonville, NC","111224","20",,,,,,,,
"Mecklenburg County, dba: Mecklenburg Transportation System","Charlotte","NC","40228","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15670","Charlotte, NC--SC","1379873","148",,,,,,,,
"Henderson County, dba: Apple Country Public Transit","Hendersonville","NC","40229","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03358","Asheville, NC","285776","4",,,,,,,,
"Orange County, dba: Orange County Public Transit","Hillsborough","NC","40231","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","25228","Durham, NC","396118","19",,,,,,,,
"Central Florida Commuter Rail, dba: SunRail","Tallahassee","FL","40232","State Government Unit or Department of Transportation","Full Reporter","2024","65863","Orlando, FL","1853896","21",,,,,,,,
"City of Salisbury, dba: Salisbury Transit","Salisbury","NC","40233","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","5",,,,,,,,
"Autonomous Municipality of Ponce, dba: SITRAS","Ponce","PR","40234","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70642","Ponce, PR","118345","28",,,,,,,,
"Aiken Area Council on Aging, Inc.","Aiken","SC","40235","Area Agency on Aging","Reduced Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","22",,,,,,,,
"Lancaster County Council on Aging, dba: Lancaster Area Ride Service","Lancaster","SC","40237","Private-Non-Profit Corporation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","14",,,,,,,,
"City of Coconut Creek","Coconut Creek","FL","40238","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","3",,,,,,,,
"City of Deerfield Beach, dba: Deerfield Beach Express Community Shuttle","Deerfield Beach","FL","40239","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2",,,,,,,,
"City of Lighthouse Point","Lighthouse Point","FL","40240","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","1",,,,,,,,
"City of Miramar","Miramar","FL","40241","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","6",,,,,,,,
"Spartanburg Regional Health Services, Inc.","Spartanburg","SC","40244","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","83548","Spartanburg, SC","196943","28",,,,,,,,
"Town of Hillsboro Beach, dba: Hillsboro Community Shuttle","Hillsboro Beach","FL","40248","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","1",,,,,,,,
"City of Hallandale Beach, dba: Hallandale Beach Minibus","Hallandale Beach","FL","40249","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","9",,,,,,,,
"City of Lauderdale Lakes","Lauderdale Lakes","FL","40250","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2",,,,,,,,
"City of Pembroke Pines","Pembroke Pines","FL","40251","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","7",,,,,,,,
"City Of Burlington, dba: Link Transit","Burlington","NC","40252","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","11728","Burlington, NC","145311","7",,,,,"0",,,"0"
"City of Coral Springs, dba: Community Shuttle","Coral Springs","FL","40253","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2",,,,,,,,
"City of Lauderhill","Lauderhill","FL","40254","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","7",,,,,,,,
"City of Hollywood","Hollywood","FL","40255","City, County or Local Government Unit or Department of Transportation","Planning Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","0",,,,,,,,
"City of Margate, dba: Community Bus Svc and Margate Inner-City Transit","Margate","FL","40256","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","8",,,,,,,,
"City of Pompano Beach, dba: Community Shuttle Program","Pompano Beach","FL","40257","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","4",,,,,,,,
"City of Dania Beach, dba: Community Bus Service","Dania","FL","40261","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","3",,,,,,,,
"Town of Davie","Davie","FL","40262","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","6",,,,,,,,
"North Central Alabama Regional Council of Governments, dba: NARCOG Regional Transit Agency","Decatur","AL","40265","MPO, COG or Other Planning Agency","Reduced Reporter","2024","22690","Decatur, AL","60458","9",,,,,,,,
"Municipality of Ciales","Ciales","PR","40268","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","1",,,,,,,,
"Municipality of Añasco","Anasco","PR","40269","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","5",,,,,,,,
"City of Rock Hill, dba: My Ride","Rock Hill","SC","40270","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","75745","Rock Hill, SC","218443","8",,,,,,,,
"Florida Department of Transportation, District 1 Office, dba: Commute Connector","Tallahassee","FL","40271","State Government Unit or Department of Transportation","Full Reporter","2024","13510","Cape Coral, FL","599242","46",,,,,,,,
"Brevard Alzheimer's Foundation Inc., dba: BAFi","Melbourne","FL","40273","Private-Non-Profit Corporation","Reduced Reporter","2024","67105","Palm Bay--Melbourne, FL","510675","16",,,,,,,,
"Town of Morrisville, dba: Morrisville Smart Shuttle","Morrisville","NC","40274","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","2",,,,,,,,
"City of North Lauderdale, dba: City of North Lauderdale Community Shuttle","North Lauderdale","FL","40275","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2",,,,,,,,
"City of Valdosta, dba: Valdosta On Demand","Valdosta","GA","40276","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","89974","Valdosta, GA","76769","12",,,,,,,,
"Town of Apex, dba: GoApex","Apex","NC","40277","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","2",,,,,,,,
"Municipality of Cabo Rojo","Cabo Rojo","PR","40278","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","78985","San Germán--Cabo Rojo--Sabana Grande, PR","97241","7",,,,,,,,
"Municipality of Canovanas","Canovanas","PR","40279","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","12",,,,,,,,
"Municipality of Corozal","Corozal","PR","40280","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","3",,,,,,,,
"Macon County","Oglethorpe","GA","40903","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Rabun County, dba: Rabun County Dial-A-Ride","Clayton","GA","40904","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Three Rivers Regional Commission","Griffin","GA","40905","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"29",,,,,,,,
"Blount County Commission","Oneonta","AL","40907","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Heard County","Franklin","GA","40908","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Middle Kentucky River Area Development Council, Inc.","Jackson","KY","40909","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16",,,,,,,,
"Peach County","Fort Valley","GA","40910","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Crisp County, dba: Crisp Area Regional Transit (CART)","Cordele","GA","40912","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Graham County","Robbinsville","NC","40913","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Duplin County","Kenansville","NC","40915","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"Wilkes Transportation Authority","Wilkesboro","NC","40918","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"24",,,,,,,,
"Ride Solution","Palatka","FL","40920","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11",,,,,,,,
"Randolph County Senior Adult Association Inc., dba: Randolph Coordinated Area Transportation System","Asheboro","NC","40921","Area Agency on Aging","Rural Reporter","2024",,,,"17",,,,,,,,
"South Central Community Action Agency, Inc.","Mendenhall","MS","40922","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19",,,,,,,,
"Liberty County Board of County Commissioners, dba: Liberty Transit","Bristol","FL","40923","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Warren County Commission, dba: Warren County Transit","Warrenton","GA","40924","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Pulaski County","Hawkinsville","GA","40925","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Escambia County Commission, dba: Escambia County Alabama Transit System","Brewton","AL","40926","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Baldwin County Commission, dba: Baldwin Regional Area Transit System","Bay Minette","AL","40928","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","28766","Fairhope--Daphne, AL","76807","28",,,,,,,,
"Rockingham County Council on Aging","Reidsville","NC","40929","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Baldwin County","Milledgeville","GA","40931","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Sampson County","Clinton","NC","40933","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Polk County Transportation Authority","Columbus","NC","40934","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Wilkinson County Commission","Irwinton","GA","40936","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Pender Adult Services, Inc.","Burgaw","NC","40938","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10",,,,,,,,
"Rural Transit Enterprises Coordinated, Inc.","Mount Vernon","KY","40941","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"160",,,,,,,,
"Lincoln County","Lincolnton","NC","40942","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14",,,,,,,,
"Community and Senior Services of Johnston County Inc., dba: Johnston County Area Transit System","Smithfield","NC","40943","Private-Non-Profit Corporation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","29",,,,,,,,
"Carteret County","Beaufort","NC","40944","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"Putnam County Commission","Eatonton","GA","40945","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Jones County","Gray","GA","40946","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Gates County","Gatesville","NC","40947","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Bluegrass Community Action Agency","Frankfort","KY","40948","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"119",,,,,,,,
"First Tennessee Human Resource Agency, dba: Northeast Tennessee Regional Public Transit","Johnson City","TN","40950","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","43210","Johnson City, TN","128519","61",,,,,,,,
"Burke County","Waynesboro","GA","40951","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Williamsburg County","Kingstree","SC","40952","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19",,,,,,,,
"Pennyrile Allied Community Services, Inc.","Hopkinsville","KY","40953","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"112",,,,,,,,
"South Central Tennessee Development District, dba: South Central Area Transit Service","Mt Pleasant","TN","40954","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","84088","Spring Hill, TN","60309","124",,,,,,,,
"Hinds County Human Resource Agency","Jackson","MS","40955","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13",,,,,,,,
"Dodge County","Eastman","GA","40956","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"N-Route","Vicksburg","MS","40957","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"17",,,,,,,,
"Municipality of Orocovis","Orocovis","PR","40958","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","2",,,,,,,,
"Washington County, dba: Riverlight Transit","Plymouth","NC","40959","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"Etowah County Commission, dba: Etowah County Rural Transportation","Gadsden","AL","40960","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Lincoln County, dba: Leisure Services","Lincolnton","GA","40961","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Madison County Commission, dba: Madison County Commission TRAM","Huntsville","AL","40963","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Cullman County Commission, dba: Cullman Area Rural Transportation System","Cullman","AL","40965","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"30",,,,,,,,
"Gulf County ARC, dba: Arc on the Gulf, Inc","Port Saint Joe","FL","40968","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"Madison County Citizens Services Agency","Canton","MS","40969","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12",,,,,,,,
"Licking Valley CAP","Flemingsburg","KY","40971","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68",,,,,,,,
"Gateway Community Services Organization","West Liberty","KY","40972","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2",,,,,,,,
"Bamberg County Office On Aging","Bamberg","SC","40974","Area Agency on Aging","Rural Reporter","2024",,,,"33",,,,,,,,
"Madison County Transportation Authority","Marshall","NC","40976","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Jefferson County, dba: Jefferson Transit","Louisville","GA","40977","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Upper-Cumberland Human Resource Agency","Cookeville","TN","40978","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"102",,,,,,,,
"KY River Foothills Development Council, Inc.","Richmond","KY","40979","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28",,,,,,,,
"H.EL.P., Inc.","Carrollton","AL","40982","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Rutherford County","Rutherfordton","NC","40983","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Western Carolina Community Action, dba: WNC Source","Hendersonville","NC","40984","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7",,,,,,,,
"Banks County","Homer","GA","40985","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Dekalb County Commission, dba: DeKalb County Rural Public Transportation","Fort Payne","AL","40986","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Copiah County Human Resource Agency","Hazlehurst","MS","40987","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9",,,,,,,,
"Edgefield County Senior Citizens Council","Edgefield","SC","40988","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11",,,,,,,,
"Southeast Tennessee Human Resource Agency-Rural Division","Dunlap","TN","40989","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"83",,,,,,,,
"Martin County","Williamston","NC","40990","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Municipality of Utuado","Utuado","PR","40991","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Wilson County","Wilson","NC","40993","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Habersham County","Clarkesville","GA","40994","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Caswell County","Yanceyville","NC","40996","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9",,,,,,,,
"Owen County Fiscal Court","Owenton","KY","40997","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Sumter County Board of County Commissioners, dba: Sumter County Transit","Wildwood","FL","40999","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","87285","The Villages--Lady Lake, FL","161736","22",,,,,,,,
"Generations Unlimited","Barnwell","SC","41002","Area Agency on Aging","Rural Reporter","2024",,,,"4",,,,,,,,
"Fairfield County Transit System","Winnsboro","SC","41003","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16",,,,,,,,
"Chatham Transit Network","Pittsboro","NC","41004","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20",,,,,,,,
"Sandy Valley Transportation Services","Prestonsburg","KY","41006","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"76",,,,,,,,
"Dade County","Trenton","GA","41007","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Jenkins County","Millen","GA","41008","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"City of Guntersville, dba: Guntersville Public Transportation","Guntersville","AL","41009","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Person County","Roxboro","NC","41010","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Chattooga County","Summerville","GA","41012","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3",,,,,,,,
"Paducah Transit Authority, dba: Paducah Area Transit System","Paducah","KY","41013","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","66781","Paducah, KY--IL","50833","28",,,,,,,,
"Dooly County","Vienna","GA","41017","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Troup County, dba: Troup Transit","Lagrange","GA","41019","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"Delta Human Resource Agency","Covington","TN","41020","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30",,,,,,,,
"Elbert County, dba: Elbert Transit","Elberton","GA","41021","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Newberry County Council on Aging","Newberry","SC","41022","Area Agency on Aging","Rural Reporter","2024",,,,"23",,,,,,,,
"Daniel Boone Development Council","Manchester","KY","41023","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"74",,,,,,,,
"Mississippi Valley State University","Itta Bena","MS","41024","University","Rural Reporter","2024",,,,"17",,,,,,,,
"Bartow County, dba: Bartow County Transit","Cartersville","GA","41027","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","10",,,,,,,,
"Scotland County","Laurinburg","NC","41028","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Ashe County Transportation Authority Inc","West Jefferson","NC","41029","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15",,,,,,,,
"Mississippi State University","Mississippi State","MS","41030","University","Rural Reporter","2024",,,,"41",,,,,,,,
"Greene County","Snow Hill","NC","41031","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
"City of Maysville, dba: Maysville City Transit","Maysville","KY","41032","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Towns County, dba: Towns County Transit","Hiawassee","GA","41033","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Beaufort County Developmental Center, Inc., dba: Beaufort Area Transit System","Washington","NC","41034","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13",,,,,,,,
"City of Cedartown, dba: Cedartown Transit","Cedartown","GA","41035","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1",,,,,,,,
"Suwannee River Economic Council, Inc.","Live Oak","FL","41037","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25",,,,,,,,
"Hyde County Private Non-Profit Transp. Corp. Inc., dba: Hyde Transit","Swanquarter","NC","41038","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5",,,,,,,,
"Northeast Mississippi Community Services","Booneville","MS","41039","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"42",,,,,,,,
"Greene County Commission, dba: Greene County Transit","Greensboro","GA","41041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4",,,,,,,,
"McCormick County Senior Center, dba: MAT Transit","Mc Cormick","SC","41042","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15",,,,,,,,
"Mitchell County Transportation Authority","Bakersville","NC","41043","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12",,,,,,,,
"Community Development Inc.","Richton","MS","41044","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"27",,,,,,,,
"Dare County","Manteo","NC","41045","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Taliaferro County Board of Commissioners","Crawfordville","GA","41046","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Kerr Area Transportation Authority, dba: Kerr Area Regional Transportation System","Henderson","NC","41048","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"37",,,,,,,,
"Suwannee Valley Transit Authority","Live Oak","FL","41050","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"12",,,,,,,,
"Five County Child Development Program, Inc.","Prentiss","MS","41051","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"8",,,,,,,,
"City of Oxford","Oxford","MS","41052","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"34",,,,,,,,
"Murray-Calloway County Transit Authority","Murray","KY","41053","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30",,,,,,,,
"McDuffie County Commission, dba: Leisure Services","Thomson","GA","41055","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6",,,,,,,,
"Dawson County, dba: Dawson Transit","Dawsonville","GA","41057","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Brunswick Transit System Inc.","Shallotte","NC","41058","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10",,,,,,,,
"City of Key West, dba: Key West Transit","Key West","FL","41060","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11",,,,,,,,
"Hancock County","Sparta","GA","41062","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5",,,,,,,,
"Moore County","Carthage","NC","41064","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","69517","Pinehurst--Southern Pines, NC","50319","9",,,,,,,,
"Twiggs County","Jeffersonville","GA","41065","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2",,,,,,,,
"Swain County Focal Point on Aging Inc, dba: Swain Public Transit","Bryson City","NC","41066","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7",,,,,,,,
"Flagler County, dba: Flagler County Transportation","Bunnell","FL","41068","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","22612","Daytona Beach--Palm Coast--Port Orange, FL","402126","18",,,,,,,,
"Cherokee County","Murphy","NC","41069","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8",,,,,,,,
