"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","fta_urbanized_area_formula","fta_capital_program_5309","fta_rural_progam_5311","other_fta_funds","other_dot_funds","other_federal_funds","total_federal_funds"
"Berkeley Charleston Dorchester RTMA, dba: TriCounty Link","Moncks Corner","SC","40206","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","15508","Charleston, SC","684773","28","1350276","0","976231","0","0","0","2326507"
"City of Clemson, dba: Clemson Area Transit","Clemson","SC","40208","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","02420","Anderson--Clemson, SC","118369","17","5678856","0","0","80000","0","0","5758856"
"Hoke County, dba: Hoke Area Transit Service","Raeford","NC","40209","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","12","178128","0","117181","0","0","0","295309"
"Craven County, dba: Craven Area Rural Transit System","New Bern","NC","40210","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","346531","804465","0","0","1150996"
"Autauga County, dba: Autauga County Rural Transportation","Prattville","AL","40213","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","58600","Montgomery, AL","254348","11","144153","0","188966","0","0","0","333119"
"Cabarrus County, dba: Cabarrus County Transportation","Concord","NC","40214","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","21","0","0","140701","33091","0","0","173792"
"Union County, dba: Union County Transportation","Monroe","NC","40215","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","23","1574018","0","300184","298758","0","176977","2349937"
"Rowan County","Salisbury","NC","40217","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","22","0","0","965218","141952","0","828166","1935336"
"City of La Grange, dba: Oldham's Public Bus","La Grange","KY","40218","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","0","165599","0","0","165599"
"Pitt County, dba: Pitt Area Transit System","Greenville","NC","40220","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35380","Greenville, NC","120150","16","0","0","170094","0","0","0","170094"
"Gaston County, dba: ACCESS Transportation","Gastonia","NC","40221","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32653","Gastonia, NC","176897","15","0","0","167892","0","0","0","167892"
"Wake County, dba: GoWake Access","Raleigh","NC","40222","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","73261","Raleigh, NC","1106646","43","4441131","0","221048","167422","0","0","4829601"
"Cumberland County, dba: Cumberland County Community Transportation Program","Fayetteville","NC","40223","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","29440","Fayetteville, NC","325008","15","26006","0","192337","196126","0","0","414469"
"Buncombe County, dba: Mountain Mobility","Asheville","NC","40224","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03358","Asheville, NC","285776","26","410570","0","331157","131478","0","0","873205"
"Alamance County Transportation Authority","Burlington","NC","40225","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","11728","Burlington, NC","145311","27","357791","0","331947","333692","0","0","1023430"
"Mountain Projects, Inc., dba: Haywood Public Transit","Waynesville","NC","40226","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","359193","39987","0","0","399180"
"Onslow United Transit System","Jacksonville","NC","40227","Private-Non-Profit Corporation","Reduced Reporter","2024","42400","Jacksonville, NC","111224","20","0","0","251390","12502","0","0","263892"
"Mecklenburg County, dba: Mecklenburg Transportation System","Charlotte","NC","40228","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15670","Charlotte, NC--SC","1379873","148","4374405","0","0","0","0","518573","4892978"
"Henderson County, dba: Apple Country Public Transit","Hendersonville","NC","40229","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03358","Asheville, NC","285776","4","712706","0","0","0","0","0","712706"
"Orange County, dba: Orange County Public Transit","Hillsborough","NC","40231","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","25228","Durham, NC","396118","19","674350","0","152977","0","0","0","827327"
"Central Florida Commuter Rail, dba: SunRail","Tallahassee","FL","40232","State Government Unit or Department of Transportation","Full Reporter","2024","65863","Orlando, FL","1853896","21","44254100","2456329","0","0","0","0","46710429"
"City of Salisbury, dba: Salisbury Transit","Salisbury","NC","40233","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19558","Concord, NC","278612","5","846294","0","0","0","0","0","846294"
"Autonomous Municipality of Ponce, dba: SITRAS","Ponce","PR","40234","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","70642","Ponce, PR","118345","28","2180653","0","0","0","0","0","2180653"
"Aiken Area Council on Aging, Inc.","Aiken","SC","40235","Area Agency on Aging","Reduced Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","22","0","0","635439","0","0","0","635439"
"Lancaster County Council on Aging, dba: Lancaster Area Ride Service","Lancaster","SC","40237","Private-Non-Profit Corporation","Reduced Reporter","2024","15670","Charlotte, NC--SC","1379873","14","0","0","177858","0","0","0","177858"
"City of Coconut Creek","Coconut Creek","FL","40238","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","3","0","0","0","0","0","0","0"
"City of Deerfield Beach, dba: Deerfield Beach Express Community Shuttle","Deerfield Beach","FL","40239","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","0","0","0","0","0","0","0"
"City of Lighthouse Point","Lighthouse Point","FL","40240","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","1","0","0","0","0","0","0","0"
"City of Miramar","Miramar","FL","40241","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","6","0","0","0","0","0","0","0"
"Spartanburg Regional Health Services, Inc.","Spartanburg","SC","40244","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","83548","Spartanburg, SC","196943","28","1102444","0","213616","0","0","0","1316060"
"Town of Hillsboro Beach, dba: Hillsboro Community Shuttle","Hillsboro Beach","FL","40248","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","1","0","0","0","0","0","0","0"
"City of Hallandale Beach, dba: Hallandale Beach Minibus","Hallandale Beach","FL","40249","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","9","0","0","0","0","0","0","0"
"City of Lauderdale Lakes","Lauderdale Lakes","FL","40250","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","0","0","0","0","0","0","0"
"City of Pembroke Pines","Pembroke Pines","FL","40251","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","7","0","0","0","0","0","0","0"
"City Of Burlington, dba: Link Transit","Burlington","NC","40252","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","11728","Burlington, NC","145311","7","6234020","0","0","0","0","0","6234020"
"City of Coral Springs, dba: Community Shuttle","Coral Springs","FL","40253","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","0","0","0","0","0","0","0"
"City of Lauderhill","Lauderhill","FL","40254","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","7","0","0","0","0","0","0","0"
"City of Hollywood","Hollywood","FL","40255","City, County or Local Government Unit or Department of Transportation","Planning Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","0","433282","0","0","0","0","0","433282"
"City of Margate, dba: Community Bus Svc and Margate Inner-City Transit","Margate","FL","40256","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","8","0","0","0","0","0","0","0"
"City of Pompano Beach, dba: Community Shuttle Program","Pompano Beach","FL","40257","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","4","0","0","0","0","0","0","0"
"City of Dania Beach, dba: Community Bus Service","Dania","FL","40261","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","3","0","0","0","0","0","0","0"
"Town of Davie","Davie","FL","40262","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","6","0","0","0","0","0","0","0"
"North Central Alabama Regional Council of Governments, dba: NARCOG Regional Transit Agency","Decatur","AL","40265","MPO, COG or Other Planning Agency","Reduced Reporter","2024","22690","Decatur, AL","60458","9","441873","0","0","0","0","0","441873"
"Municipality of Ciales","Ciales","PR","40268","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","1","38008","0","0","33635","0","0","71643"
"Municipality of Añasco","Anasco","PR","40269","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","5","184523","0","0","0","0","0","184523"
"City of Rock Hill, dba: My Ride","Rock Hill","SC","40270","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","75745","Rock Hill, SC","218443","8","1034554","0","0","0","0","0","1034554"
"Florida Department of Transportation, District 1 Office, dba: Commute Connector","Tallahassee","FL","40271","State Government Unit or Department of Transportation","Full Reporter","2024","13510","Cape Coral, FL","599242","46","0","0","0","0","0","0","0"
"Brevard Alzheimer's Foundation Inc., dba: BAFi","Melbourne","FL","40273","Private-Non-Profit Corporation","Reduced Reporter","2024","67105","Palm Bay--Melbourne, FL","510675","16","0","0","0","100407","0","10460","110867"
"Town of Morrisville, dba: Morrisville Smart Shuttle","Morrisville","NC","40274","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","2","0","0","0","0","0","0","0"
"City of North Lauderdale, dba: City of North Lauderdale Community Shuttle","North Lauderdale","FL","40275","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","2","0","0","0","0","0","0","0"
"City of Valdosta, dba: Valdosta On Demand","Valdosta","GA","40276","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","89974","Valdosta, GA","76769","12","1215585","0","0","0","0","0","1215585"
"Town of Apex, dba: GoApex","Apex","NC","40277","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","2","0","0","0","0","0","0","0"
"Municipality of Cabo Rojo","Cabo Rojo","PR","40278","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","78985","San Germán--Cabo Rojo--Sabana Grande, PR","97241","7","511434","0","0","0","0","0","511434"
"Municipality of Canovanas","Canovanas","PR","40279","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","12","94460","0","0","265706","0","0","360166"
"Municipality of Corozal","Corozal","PR","40280","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","3","37166","0","0","0","0","0","37166"
"Macon County","Oglethorpe","GA","40903","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","155000","0","0","0","155000"
"Rabun County, dba: Rabun County Dial-A-Ride","Clayton","GA","40904","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","123650","0","0","0","123650"
"Three Rivers Regional Commission","Griffin","GA","40905","MPO, COG or Other Planning Agency","Rural Reporter","2024",,,,"29","0","0","1615915","29468","0","0","1645383"
"Blount County Commission","Oneonta","AL","40907","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","202406","0","0","0","202406"
"Heard County","Franklin","GA","40908","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","57964","0","0","0","57964"
"Middle Kentucky River Area Development Council, Inc.","Jackson","KY","40909","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"16","0","0","286677","53428","0","0","340105"
"Peach County","Fort Valley","GA","40910","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","104062","0","0","0","104062"
"Crisp County, dba: Crisp Area Regional Transit (CART)","Cordele","GA","40912","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","596070","0","0","0","596070"
"Graham County","Robbinsville","NC","40913","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","267629","0","0","0","267629"
"Duplin County","Kenansville","NC","40915","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","1159342","0","256343","0","0","0","1415685"
"Wilkes Transportation Authority","Wilkesboro","NC","40918","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"24","228570","0","399995","0","0","0","628565"
"Ride Solution","Palatka","FL","40920","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","813881","0","0","0","813881"
"Randolph County Senior Adult Association Inc., dba: Randolph Coordinated Area Transportation System","Asheboro","NC","40921","Area Agency on Aging","Rural Reporter","2024",,,,"17","294028","0","702339","0","0","0","996367"
"South Central Community Action Agency, Inc.","Mendenhall","MS","40922","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"19","0","0","467601","0","0","0","467601"
"Liberty County Board of County Commissioners, dba: Liberty Transit","Bristol","FL","40923","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","311184","0","0","0","311184"
"Warren County Commission, dba: Warren County Transit","Warrenton","GA","40924","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","72366","9016","0","0","81382"
"Pulaski County","Hawkinsville","GA","40925","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","149582","0","0","0","149582"
"Escambia County Commission, dba: Escambia County Alabama Transit System","Brewton","AL","40926","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","293279","0","0","0","293279"
"Baldwin County Commission, dba: Baldwin Regional Area Transit System","Bay Minette","AL","40928","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","28766","Fairhope--Daphne, AL","76807","28","3336457","0","1633401","0","0","0","4969858"
"Rockingham County Council on Aging","Reidsville","NC","40929","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","850076","127500","0","0","977576"
"Baldwin County","Milledgeville","GA","40931","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","301258","0","0","0","301258"
"Sampson County","Clinton","NC","40933","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","1131817","8634","0","0","1140451"
"Polk County Transportation Authority","Columbus","NC","40934","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","347708","0","0","0","347708"
"Wilkinson County Commission","Irwinton","GA","40936","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","209012","0","0","0","209012"
"Pender Adult Services, Inc.","Burgaw","NC","40938","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"10","0","0","123330","69937","0","0","193267"
"Rural Transit Enterprises Coordinated, Inc.","Mount Vernon","KY","40941","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"160","0","0","0","200355","0","0","200355"
"Lincoln County","Lincolnton","NC","40942","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","596140","0","298403","0","0","0","894543"
"Community and Senior Services of Johnston County Inc., dba: Johnston County Area Transit System","Smithfield","NC","40943","Private-Non-Profit Corporation","Reduced Reporter","2024","73261","Raleigh, NC","1106646","29","941736","0","822817","0","0","0","1764553"
"Carteret County","Beaufort","NC","40944","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","386522","150000","0","0","536522"
"Putnam County Commission","Eatonton","GA","40945","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","134072","0","0","0","134072"
"Jones County","Gray","GA","40946","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","296407","0","0","0","296407"
"Gates County","Gatesville","NC","40947","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","154072","7496","0","0","161568"
"Bluegrass Community Action Agency","Frankfort","KY","40948","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"119","1702417","0","3359615","12540","0","0","5074572"
"First Tennessee Human Resource Agency, dba: Northeast Tennessee Regional Public Transit","Johnson City","TN","40950","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","43210","Johnson City, TN","128519","61","2169681","0","2518707","76378","0","0","4764766"
"Burke County","Waynesboro","GA","40951","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","163628","72805","0","0","236433"
"Williamsburg County","Kingstree","SC","40952","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"19","0","0","859866","0","0","0","859866"
"Pennyrile Allied Community Services, Inc.","Hopkinsville","KY","40953","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"112","249768","0","90718","0","0","0","340486"
"South Central Tennessee Development District, dba: South Central Area Transit Service","Mt Pleasant","TN","40954","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","84088","Spring Hill, TN","60309","124","1375628","0","3757531","171643","0","0","5304802"
"Hinds County Human Resource Agency","Jackson","MS","40955","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"13","0","0","520559","0","0","0","520559"
"Dodge County","Eastman","GA","40956","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","226381","0","0","0","226381"
"N-Route","Vicksburg","MS","40957","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"17","0","0","794713","28417","0","0","823130"
"Municipality of Orocovis","Orocovis","PR","40958","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","2","0","0","0","0","0","0","0"
"Washington County, dba: Riverlight Transit","Plymouth","NC","40959","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","258765","0","0","0","258765"
"Etowah County Commission, dba: Etowah County Rural Transportation","Gadsden","AL","40960","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","84744","119871","0","0","0","204615"
"Lincoln County, dba: Leisure Services","Lincolnton","GA","40961","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","43617","0","0","0","43617"
"Madison County Commission, dba: Madison County Commission TRAM","Huntsville","AL","40963","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","266395","0","0","0","266395"
"Cullman County Commission, dba: Cullman Area Rural Transportation System","Cullman","AL","40965","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"30","0","0","1009554","0","0","0","1009554"
"Gulf County ARC, dba: Arc on the Gulf, Inc","Port Saint Joe","FL","40968","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"10","0","0","246619","0","0","0","246619"
"Madison County Citizens Services Agency","Canton","MS","40969","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","599681","0","0","0","599681"
"Licking Valley CAP","Flemingsburg","KY","40971","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"68","1370980","0","0","0","0","0","1370980"
"Gateway Community Services Organization","West Liberty","KY","40972","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","158902","0","0","0","158902"
"Bamberg County Office On Aging","Bamberg","SC","40974","Area Agency on Aging","Rural Reporter","2024",,,,"33","0","0","571121","0","0","0","571121"
"Madison County Transportation Authority","Marshall","NC","40976","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","153759","0","0","0","153759"
"Jefferson County, dba: Jefferson Transit","Louisville","GA","40977","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","202443","86490","0","0","288933"
"Upper-Cumberland Human Resource Agency","Cookeville","TN","40978","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"102","1686258","0","5366983","406852","0","0","7460093"
"KY River Foothills Development Council, Inc.","Richmond","KY","40979","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"28","0","0","3871003","0","0","0","3871003"
"H.EL.P., Inc.","Carrollton","AL","40982","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","0","0","290050","0","0","0","290050"
"Rutherford County","Rutherfordton","NC","40983","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","370987","80000","0","0","450987"
"Western Carolina Community Action, dba: WNC Source","Hendersonville","NC","40984","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"7","0","0","323160","31673","0","0","354833"
"Banks County","Homer","GA","40985","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","58044","0","0","0","58044"
"Dekalb County Commission, dba: DeKalb County Rural Public Transportation","Fort Payne","AL","40986","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","100000","226715","0","0","0","326715"
"Copiah County Human Resource Agency","Hazlehurst","MS","40987","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"9","0","0","338969","0","0","0","338969"
"Edgefield County Senior Citizens Council","Edgefield","SC","40988","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"11","0","0","174299","0","0","0","174299"
"Southeast Tennessee Human Resource Agency-Rural Division","Dunlap","TN","40989","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"83","358196","0","2922778","5676","0","0","3286650"
"Martin County","Williamston","NC","40990","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","118166","0","0","0","118166"
"Municipality of Utuado","Utuado","PR","40991","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","15585","0","0","0","15585"
"Wilson County","Wilson","NC","40993","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","224808","0","458627","0","0","0","683435"
"Habersham County","Clarkesville","GA","40994","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","210156","0","0","0","210156"
"Caswell County","Yanceyville","NC","40996","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"9","0","0","118399","16000","0","0","134399"
"Owen County Fiscal Court","Owenton","KY","40997","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"12","0","0","95552","0","0","0","95552"
"Sumter County Board of County Commissioners, dba: Sumter County Transit","Wildwood","FL","40999","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","87285","The Villages--Lady Lake, FL","161736","22","0","0","359084","0","0","0","359084"
"Generations Unlimited","Barnwell","SC","41002","Area Agency on Aging","Rural Reporter","2024",,,,"4","0","0","151265","0","0","0","151265"
"Fairfield County Transit System","Winnsboro","SC","41003","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"16","0","0","364180","0","0","0","364180"
"Chatham Transit Network","Pittsboro","NC","41004","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"20","313168","0","234492","104998","0","0","652658"
"Sandy Valley Transportation Services","Prestonsburg","KY","41006","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"76","0","0","778847","0","0","0","778847"
"Dade County","Trenton","GA","41007","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","501059","0","0","0","501059"
"Jenkins County","Millen","GA","41008","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","30572","0","0","0","30572"
"City of Guntersville, dba: Guntersville Public Transportation","Guntersville","AL","41009","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"5","0","0","100000","0","0","0","100000"
"Person County","Roxboro","NC","41010","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","226065","0","0","0","226065"
"Chattooga County","Summerville","GA","41012","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","74251","0","0","0","74251"
"Paducah Transit Authority, dba: Paducah Area Transit System","Paducah","KY","41013","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","66781","Paducah, KY--IL","50833","28","0","0","1665225","0","0","0","1665225"
"Dooly County","Vienna","GA","41017","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","310000","0","0","0","310000"
"Troup County, dba: Troup Transit","Lagrange","GA","41019","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","366541","0","0","0","366541"
"Delta Human Resource Agency","Covington","TN","41020","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","0","0","1319262","0","0","0","1319262"
"Elbert County, dba: Elbert Transit","Elberton","GA","41021","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","247488","0","0","0","247488"
"Newberry County Council on Aging","Newberry","SC","41022","Area Agency on Aging","Rural Reporter","2024",,,,"23","2525","0","302315","0","0","73589","378429"
"Daniel Boone Development Council","Manchester","KY","41023","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"74","0","0","2302380","467495","0","0","2769875"
"Mississippi Valley State University","Itta Bena","MS","41024","University","Rural Reporter","2024",,,,"17","0","0","501583","0","0","0","501583"
"Bartow County, dba: Bartow County Transit","Cartersville","GA","41027","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","03817","Atlanta, GA","5100112","10","0","0","0","0","0","0","0"
"Scotland County","Laurinburg","NC","41028","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"6","0","0","129223","0","0","0","129223"
"Ashe County Transportation Authority Inc","West Jefferson","NC","41029","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"15","0","0","449748","37000","0","0","486748"
"Mississippi State University","Mississippi State","MS","41030","University","Rural Reporter","2024",,,,"41","0","0","2025215","0","0","0","2025215"
"Greene County","Snow Hill","NC","41031","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","76574","0","101859","0","0","0","178433"
"City of Maysville, dba: Maysville City Transit","Maysville","KY","41032","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","28950","0","189015","0","0","0","217965"
"Towns County, dba: Towns County Transit","Hiawassee","GA","41033","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","57295","5569","0","0","62864"
"Beaufort County Developmental Center, Inc., dba: Beaufort Area Transit System","Washington","NC","41034","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"13","0","0","600848","85000","0","0","685848"
"City of Cedartown, dba: Cedartown Transit","Cedartown","GA","41035","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","50500","0","0","0","50500"
"Suwannee River Economic Council, Inc.","Live Oak","FL","41037","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"25","0","0","1082905","0","0","0","1082905"
"Hyde County Private Non-Profit Transp. Corp. Inc., dba: Hyde Transit","Swanquarter","NC","41038","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"5","87139","0","250105","0","0","0","337244"
"Northeast Mississippi Community Services","Booneville","MS","41039","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"42","0","0","1494024","0","0","0","1494024"
"Greene County Commission, dba: Greene County Transit","Greensboro","GA","41041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"4","0","0","125000","128292","0","0","253292"
"McCormick County Senior Center, dba: MAT Transit","Mc Cormick","SC","41042","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"15","0","0","279819","0","0","0","279819"
