"agency","city","state","ntd_id","organization_type","reporter_type","report_year","uace_code","uza_name","primary_uza_population","agency_voms","general_funds","transportation_funds","reduced_reporter_funds","total","total_questionable"
"Schuylkill Transportation System","Pottsville","PA","30127","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"40","0","0","4286635","4286635",
"Anne Arundel County","Annapolis","MD","30129","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04843","Baltimore, MD","2212038","27","0","0","0","0",
"Baltimore County Department of Public Works Transportation","Towson","MD","30130","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04843","Baltimore, MD","2212038","27","0","0","416408","416408",
"Board of County Commissioners of Calvert County, Maryland, dba: Calvert County Public Transportation","Prince Frederick","MD","30131","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","49594","Lexington Park--California--Chesapeake Ranch Estates, MD","62352","13","0","0","235483","235483",
"Mountain Empire Older Citizens, dba: MetGo!","Big Stone Gap","VA","30132","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"40","0","0","740428","740428",
"Potomac Valley Transit Authority","Petersburg","WV","30135","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"26","0","0","668871","668871",
"Monroe County Transportation Authority, dba: Pocono Pony","Swiftwater","PA","30137","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"34","0","0","2694633","2694633",
"Barbour Co. Senior Center, dba: Here & There Transit","Philippi","WV","30138","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"12","0","0","0","0",
"Mountain Transit Authority","Summersville","WV","30140","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"23","0","0","385946","385946",
"Butler Transit Authority, dba: The Bus","Butler","PA","30141","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","69697","Pittsburgh, PA","1745039","13","0","0","1559699","1559699",
"Lake Country Area Agency on Aging, dba: Lake Area Bus & Halifax Area Rural Transportation","South Hill","VA","30142","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"2","0","0","104583","104583",
"Town of Chincoteague, dba: Pony Express","Panacea","FL","30147","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","0","0",
"Fairmont Marion County Transit Authority","Fairmont","WV","30149","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"26","0","0","348614","348614",
"New Castle Area Transit Authority","New Castle","PA","30151","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"51","0","0","6202243","6202243",
"Mayor and City Council Town of Ocean City","Ocean City","MD","30155","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"43","0","0","494027","494027",
"Town of Altavista, dba: Altavista Community Transit System","Altavista","VA","30157","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"2","0","0","32351","32351",
"Little Kanawha Transit Authority","Mount Zion","WV","30162","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"9","0","0","283901","283901",
"Town of Bluefield, dba: Graham Transit","Bluefield","VA","30164","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"3","0","0","187792","187792",
"Town of Farmville, dba: Farmville Area Bus","Farmville","VA","30165","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"7","0","0","222369","222369",
"Endless Mountains Transportation Authority, dba: BeST Transit","Mansfield","PA","30170","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"58","0","0","2895977","2895977",
"Bay Aging, dba: Bay Transit","Urbanna","VA","30172","Area Agency on Aging","Rural Reporter","2024",,,,"36","0","0","1777954","1777954",
"Appalachian Agency for Senior Citizens, dba: Four County Transit","Cedar Bluff","VA","30174","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"40","0","0","784803","784803",
"Indiana County Transit Authority, dba: IndiGO","Indiana","PA","30177","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"21","0","0","1183247","1183247",
"Unified Human Services Transportation Systems, Inc, dba: RADAR","Roanoke","VA","30178","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"39","0","0","534694","534694",
"Tri River Transit","West Hamlin","WV","30183","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"30","0","0","355016","355016",
"Town of Blackstone, dba: Blackstone Area Bus Service","Blackstone","VA","30184","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"8","0","0","215143","215143",
"Crawford Area Transportation Authority","Meadville","PA","30185","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"46","0","0","3758392","3758392",
"Preston County Sr. Cit, Inc., dba: Buckwheat Express","Kingwood","WV","30190","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"18","0","0","283720","283720",
"Queen Anne's County, dba: County Ride","Centreville","MD","30192","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","04843","Baltimore, MD","2212038","14","0","0","340694","340694",
"Mid-County Transit Authority, dba: Town and Country Transit","Kittanning","PA","30194","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"11","0","0","899922","899922",
"Area Transportation Authority of North Central PA","Johnsonburg","PA","30196","Independent Public Agency or Authority of Transit Service","Rural Reporter","2024",,,,"70","0","0","10334687","10334687",
"City of Suffolk, dba: Suffolk Transit","Suffolk","VA","30198","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","90892","Virginia Beach--Norfolk, VA","1451578","8","0","0","426341","426341",
"New River Transit Authority, dba: New River Transit","Beckley","WV","30199","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","06139","Beckley, WV","57468","13","0","0","0","0",
"City of Radford, dba: Radford Transit","Radford","VA","30200","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","08002","Blacksburg--Christiansburg, VA","72400","12","0","0","1151251","1151251",
"City of Baltimore, dba: Charm City Circulator","Baltimore","MD","30201","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04843","Baltimore, MD","2212038","21","1600000","0","0","1600000",
"South Central Transit Authority","Lancaster","PA","30202","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","47530","Lancaster--Manheim, PA","394530","163","3810678","25979918","0","29790596",
"York County, dba: Yorktown Trolley","Yorktown","VA","30203","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","90892","Virginia Beach--Norfolk, VA","1451578","3","0","0","0","0",
"Transit Management of Central Maryland, Inc., dba: Regional Transportation Agency of Central Maryland","Ellicott City","MD","30205","Other Publicly-Owned or Privately Chartered Corporation","Full Reporter","2024","04843","Baltimore, MD","2212038","64","0","3367921","0","3367921",
"Susquehanna Regional Transportation Authority, dba: rabbittransit","Harrisburg","PA","30206","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","37081","Harrisburg, PA","490859","336","21270853","12863023","0","34133876",
"RIVER VALLEY TRANSIT AUTHORITY, dba: River Valley Transit","Williamsport","PA","30207","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","95455","Williamsport, PA","55344","31","0","5395445","0","5395445",
"City of Weirton, dba: Weirton Transit","Weirton","WV","30209","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","84859","Steubenville--Weirton, OH--WV--PA","64981","13","0","0","477301","477301",
"Delmarva Community Services Inc.","Cambridge","MD","30571","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"39","0","0","885911","885911",
"Central Shenandoah Planning District Commission, dba: BRITE Bus","Staunton","VA","30989","MPO, COG or Other Planning Agency","Reduced Reporter","2024","84630","Staunton--Waynesboro, VA","59065","22","0","0","1141920","1141920",
"Airport Corridor Transportation Association","Pittsburgh","PA","30990","Private-Non-Profit Corporation","Reduced Reporter","2024","69697","Pittsburgh, PA","1745039","2","0","0","492390","492390",
"County of Greensville, dba: Greensville Emporia Transit","Emporia","VA","31025","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"1","0","0","50261","50261",
"Allied Coordinated Transportation Services, Inc.","New Castle","PA","31028","Private-Non-Profit Corporation","Rural Reporter","2024",,,,"22","0","0","413385","413385",
"Blair Senior Services, Inc.","Altoona","PA","31029","Area Agency on Aging","Reduced Reporter","2024","01792","Altoona, PA","74426","24","0","0","228840","228840",
"Call-A-Ride Service, Inc.","Lewistown","PA","31031","Area Agency on Aging","Rural Reporter","2024",,,,"11","0","0","413127","413127",
"Clarion County, dba: Clarion County Transportation","Shippenville","PA","31032","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"14","0","0","0","0",
"Forest County","Tionesta","PA","31034","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"15","0","0","19255","19255",
"Wayne County, dba: Wayne County Transportation System","Honesdale","PA","31035","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"35","0","0","115038","115038",
"STEP, Inc.","Williamsport","PA","31036","Private-Non-Profit Corporation","Full Reporter","2024","95455","Williamsport, PA","55344","31","0","1240682","0","1240682",
"Pike County","Hawley","PA","31038","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"17","0","0","0","0",
"Huntingdon-Bedford-Fulton Area Agency on Aging, dba: CART Senior Transportation","Bedford","PA","31039","Area Agency on Aging","Rural Reporter","2024",,,,"30","0","0","655152","655152",
"Greene County - PA","Waynesburg","PA","31040","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"11","0","0","3420","3420",
"County of Butler, dba: Butler Area Rural Transit","Butler","PA","31041","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"18","0","0","263333","263333",
"Centre County","Bellefonte","PA","31042","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","84493","State College, PA","83674","23","0","0","1181633","1181633",
"Somerset County, dba: Somerset County Transportation System","Somerset","PA","31044","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","305244","305244",
"Susquehanna County, dba: Susquehanna-Wyoming County Transportation","Montrose","PA","31045","City, County or Local Government Unit or Department of Transportation","Rural Reporter","2024",,,,"23","0","0","155622","155622",
"Chattanooga Area Regional Transportation Authority","Chattanooga","TN","40001","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15832","Chattanooga, TN--GA","398569","76","3315098","0","0","3315098",
"City of Knoxville, dba: Knoxville Area Transit","Knoxville","TN","40002","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","45640","Knoxville, TN","597257","64","0","4313562","0","4313562",
"City of Memphis, dba: Memphis Area Transit Authority","Memphis","TN","40003","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","56116","Memphis, TN--MS--AR","1056190","135","9980327","0","0","9980327",
"Metropolitan Transit Authority, dba: WeGo Public Transit","Madison","TN","40004","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","61273","Nashville-Davidson, TN","1158642","286","0","11108323","0","11108323",
"City of Asheville, dba: ART (Asheville Rides Transit)","Asheville","NC","40005","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03358","Asheville, NC","285776","19","0","1116588","0","1116588",
"Cape Fear Public Transportation Authority, dba: Wave Transit","Wilmington","NC","40006","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","95833","Wilmington, NC","255329","44","1282149","0","0","1282149",
"City of Raleigh, dba: GoRaleigh","Raleigh","NC","40007","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","73261","Raleigh, NC","1106646","264","0","3041187","0","3041187",
"City of Charlotte North Carolina","Charlotte","NC","40008","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","15670","Charlotte, NC--SC","1379873","287","9354631","0","0","9354631",
"City of Fayetteville, dba: Fayetteville Area System of Transit","Fayetteville","NC","40009","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","29440","Fayetteville, NC","325008","36","0","746023","0","746023",
"City of Gastonia, dba: Gastonia Transit","Gastonia","NC","40010","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32653","Gastonia, NC","176897","9","0","0","191889","191889",
"City of High Point, dba: High Point Transit System","High Point","NC","40011","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","38809","High Point, NC","167830","16","0","0","560090","560090",
"City of Winston Salem, dba: Winston-Salem Transit Authority","Winston Salem","NC","40012","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","96670","Winston-Salem, NC","420924","60","0","1168139","0","1168139",
"Ms Coast Transportation Authority, dba: COAST TRANSIT AUTHORITY","Gulfport","MS","40014","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","35920","Gulfport--Biloxi, MS","236344","69","480000","0","0","480000",
"City of Jackson, MS","Jackson","MS","40015","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","42211","Jackson, MS","347693","31","480000","0","0","480000",
"City of Ashland, dba: Ashland Bus System","Ashland","KY","40016","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","40753","Huntington, WV--KY--OH","200157","11","0","0","39074","39074",
"Lexington Transit Authority, dba: Lextran","Lexington","KY","40017","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","49582","Lexington-Fayette, KY","315631","106","1758474","0","0","1758474",
"Transit Authority of River City","Louisville","KY","40018","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","51755","Louisville/Jefferson County, KY--IN","974397","270","2169929","2607292","0","4777221",
"Transit Authority of Northern Kentucky","Covington","KY","40019","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","16885","Cincinnati, OH--KY","1686744","116","1667231","0","0","1667231",
"City of Owensboro, dba: Owensboro Transit Systems","Owensboro","KY","40020","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","66484","Owensboro, KY","76433","9","0","0","151268","151268",
"City of Albany, dba: Albany Transit System","Albany","GA","40021","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","00901","Albany, GA","85960","13","1187884","0","0","1187884",
"Metropolitan Atlanta Rapid Transit Authority","Atlanta","GA","40022","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","03817","Atlanta, GA","5100112","773","0","354052","0","354052",
"Augusta Richmond County Transit Department, dba: Augusta Transit","Augusta","GA","40023","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","04222","Augusta-Richmond County, GA--SC","431480","19","0","2300000","0","2300000",
"Columbus Consolidated Government, dba: METRA","Columbus","GA","40024","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","19099","Columbus, GA--AL","267746","24","0","0","606397","606397",
"Chatham Area Transit Authority","Savannah","GA","40025","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79768","Savannah, GA","309466","54","0","3000000","0","3000000",
"Manatee County Board of County Commissioners, dba: Manatee County Area Transit","Sarasota","FL","40026","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","09536","Bradenton--Sarasota--Venice, FL","779075","57","0","2330386","0","2330386",
"Pinellas Suncoast Transit Authority","Saint Petersburg","FL","40027","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","86599","Tampa--St. Petersburg, FL","2783045","504","0","7957982","0","7957982",
"Lee County, dba: LeeTran","Fort Myers","FL","40028","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","13510","Cape Coral, FL","599242","85","4972160","0","0","4972160",
"Broward County Board of County Commissioners, dba: Broward County Transit Division","Fort Lauderdale","FL","40029","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","568","0","24919889","0","24919889",
"City of Gainesville, FL, dba: Regional Transit System","Gainesville","FL","40030","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","32167","Gainesville, FL","213748","119","2212597","0","0","2212597",
"Lakeland Area Mass Transit District, dba: Citrus Connection","Lakeland","FL","40031","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","46828","Lakeland, FL","277915","80","0","3161649","0","3161649",
"County of Volusia, dba: VOTRAN","Deland","FL","40032","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","22612","Daytona Beach--Palm Coast--Port Orange, FL","402126","143","0","5622263","0","5622263",
"County of Miami-Dade","Miami","FL","40034","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","1277","46795674","3193382","0","49989056",
"Central Florida Regional Transportation Authority","Orlando","FL","40035","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","65863","Orlando, FL","1853896","556","19762173","0","0","19762173",
"City of Tallahassee","Tallahassee","FL","40036","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","86464","Tallahassee, FL","252934","136","599999","1862764","0","2462763",
"Board of County Commissioners, Palm Beach County, dba: Palm Tran, Inc.","West Palm Beach","FL","40037","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","396","666666","12550888","0","13217554",
"Escambia County Board of County Commissioners, FL, dba: Escambia County Area Transit","Pensacola","FL","40038","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","68482","Pensacola, FL--AL","390172","64","1727993","777534","0","2505527",
"Jacksonville Transportation Authority","Jacksonville","FL","40040","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","42346","Jacksonville, FL","1247374","271","28441","15240706","0","15269147",
"Hillsborough Area Regional Transit Authority","Tampa","FL","40041","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","86599","Tampa--St. Petersburg, FL","2783045","209","0","10090508","0","10090508",
"Birmingham-Jefferson County Transit Authority","Birmingham","AL","40042","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","07786","Birmingham, AL","774956","86","0","0","0","0",
"City of Mobile, dba: THE WAVE TRANSIT SYSTEM","Mobile","AL","40043","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","57925","Mobile, AL","321907","40","0","0","0","0",
"City of Montgomery, dba: The M Transit","Montgomery","AL","40044","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","58600","Montgomery, AL","254348","25","0","0","0","0",
"Tuscaloosa County Parking and Transit Authority, dba: Tuscaloosa Transit Authority","Tuscaloosa","AL","40045","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","89110","Tuscaloosa, AL","156450","15","0","0","0","0",
"Sarasota County, dba: Breeze Transit","Sarasota","FL","40046","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","09536","Bradenton--Sarasota--Venice, FL","779075","125","0","3191264","0","3191264",
"Athens-Clarke County Unified Government, dba: Athens-Clarke County Transit Department","Athens","GA","40047","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03763","Athens-Clarke County, GA","143213","18","0","87880","0","87880",
"City of Gadsden, dba: Gadsden Transportation Services","Gadsden","AL","40049","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","32113","Gadsden, AL","57975","12","0","0","0","0",
"Town of Chapel Hill, dba: Chapel Hill Transit","Chapel Hill","NC","40051","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","25228","Durham, NC","396118","88","10630812","3631704","0","14262516",
"Greenville Transit Authority, dba: Greenlink","Greenville","SC","40053","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","35461","Greenville, SC","387271","23","0","2172701","0","2172701",
"City of Johnson City, dba: Johnson City Transit System","Johnson City","TN","40054","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","43210","Johnson City, TN","128519","25","0","0","975346","975346",
"City of Bristol Tennessee, dba: Bristol Tennessee Transit System","Bristol","TN","40055","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","10351","Bristol, TN--VA","70638","7","0","0","234498","234498",
"Pee Dee Regional Transportation Authority","Florence","SC","40056","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","30061","Florence, SC","89436","41","0","617791","0","617791",
"Jackson Transit Authority","Jackson","TN","40057","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","42265","Jackson, TN","72809","13","1134189","0","0","1134189",
"City of Rome","Rome","GA","40058","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","76204","Rome, GA","60403","12","0","132428","0","132428",
"City of Hattiesburg, dba: Hub City Transit","Hattiesburg","MS","40060","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","37594","Hattiesburg, MS","80821","10","0","0","0","0",
"Brevard Board of County Commissioners, dba: Space Coast Area Transit","Titusville","FL","40063","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","67105","Palm Bay--Melbourne, FL","510675","91","5702680","0","0","5702680",
"East Alabama Regional Planning and Development Commission, dba: Areawide Community Transportation System","Anniston","AL","40064","MPO, COG or Other Planning Agency","Reduced Reporter","2024","02629","Anniston--Oxford, AL","78302","28","0","0","0","0",
"Northwest Alabama Council of Local Governments, dba: NACOLG Transit","Muscle Shoals","AL","40068","MPO, COG or Other Planning Agency","Reduced Reporter","2024","29953","Florence, AL","78925","14","0","0","0","0",
"City of Huntsville, Alabama, dba: Huntsville Transit","Huntsville","AL","40071","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","40780","Huntsville, AL","329066","36","0","0","0","0",
"Lee-Russell Council of Governments, dba: Lee-Russell Public Transit and Phenix City Express","Opelika","AL","40073","MPO, COG or Other Planning Agency","Reduced Reporter","2024","04033","Auburn, AL","100842","20","0","0","0","0",
"Pasco County Board of County Commissioners, dba: GoPasco","New Port Richey","FL","40074","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","86599","Tampa--St. Petersburg, FL","2783045","37","3924668","0","0","3924668",
"South Florida Regional Transportation Authority, dba: Tri-Rail","Pompano Beach","FL","40077","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","56602","Miami--Fort Lauderdale, FL","6077522","46","71861035","0","0","71861035",
"Cobb County, dba: CobbLinc","Marietta","GA","40078","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","76","236633","0","0","236633",
"City of Kingsport, dba: Kingsport Area Transit Service","Kingsport","TN","40080","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","45235","Kingsport, TN--VA","98411","11","0","0","688606","688606",
"City of Anderson","Anderson","SC","40081","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","02420","Anderson--Clemson, SC","118369","6","0","0","263863","263863",
"County of Douglas, dba: Connect Douglas","Douglasville","GA","40082","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","03817","Atlanta, GA","5100112","20","0","0","0","0",
"Metropolitan Bus Authority","San Juan","PR","40086","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","79093","San Juan, PR","1844410","107","35505429","4950310","0","40455739",
"City of Durham, dba: GoDurham","Durham","NC","40087","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","25228","Durham, NC","396118","110","0","4164060","0","4164060",
"City of Clarksville, dba: Clarksville Transit System","Clarksville","TN","40092","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","17317","Clarksville, TN--KY","200947","29","0","0","1193669","1193669",
"City of Greensboro, dba: Greensboro Transit Agency","Greensboro","NC","40093","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","35164","Greensboro, NC","338928","82","0","1657774","0","1657774",
"Alternativa de Transporte Integrado, dba: Autoridad de Transporte Integrado","San Juan","PR","40094","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","57","56394751","0","0","56394751",
"City of Greenville, dba: Greenville Area Transit","Greenville","NC","40095","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","35380","Greenville, NC","120150","12","0","0","487004","487004",
"City of Rocky Mount, dba: Tar River Transit","Rocky Mount","NC","40096","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","75988","Rocky Mount, NC","63297","26","0","0","224998","224998",
"Council on Aging of St. Lucie, Inc., dba: Community Transit","Port Saint Lucie","FL","40097","Private-Non-Profit Corporation","Reduced Reporter","2024","71479","Port St. Lucie, FL","437745","10","0","0","150815","150815",
"Santee Wateree Regional Transportation Authority, dba: Santee Wateree RTA","Sumter","SC","40100","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","85708","Sumter, SC","68825","43","334838","0","0","334838",
"City of Spartanburg South Carolina, dba: Spartanburg Area Regional Transportation System","Spartanburg","SC","40101","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","83548","Spartanburg, SC","196943","8","0","0","0","0",
"Waccamaw Regional Transportation Authority, dba: Coast RTA","Conway","SC","40102","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","60895","Myrtle Beach--North Myrtle Beach, SC--NC","298954","36","0","65320","0","65320",
"Southeast Alabama Regional Planning and Development Commission","Dothan","AL","40103","MPO, COG or Other Planning Agency","Reduced Reporter","2024","24472","Dothan, AL","72423","29","0","0","265669","265669",
"Indian River County, dba: GoLine","Vero Beach","FL","40104","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","90406","Vero Beach--Sebastian, FL","174292","26","0","1761922","0","1761922",
"Puerto Rico Highway and Transportation Authority","San Juan","PR","40105","State Government Unit or Department of Transportation","Full Reporter","2024","79093","San Juan, PR","1844410","234","0","398198","0","398198",
"Research Triangle Regional Public Transportation Authority, dba: GoTriangle","Durham","NC","40108","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","25228","Durham, NC","396118","87","2822727","0","0","2822727",
"Charleston Area Regional Transportation Authority","North Charleston","SC","40110","Independent Public Agency or Authority of Transit Service","Full Reporter","2024","15508","Charleston, SC","684773","96","260436","0","0","260436",
"City of San Juan","San Juan","PR","40112","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","19","0","0","0","0",
"Municipality of Aguada","Aguada","PR","40114","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","00631","Aguadilla--Isabela--San Sebastián, PR","232573","2","0","0","0","0",
"Municipality of Caguas","Caguas","PR","40115","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","22","0","0","0","0",
"Municipality of Vega Baja","Vega Baja","PR","40117","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","10","0","0","0","0",
"City of Ocala, Florida, dba: SunTran","Ocala","FL","40120","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","64567","Ocala, FL","182647","7","0","0","659733","659733",
"Municipality of Hormigueros","Hormigueros","PR","40121","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","55738","Mayagüez, PR","91583","5","0","0","0","0",
"Municipality of Cayey","Cayey","PR","40122","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","0","0","0","0",
"Municipality of Gurabo","Gurabo","PR","40123","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","4","0","0","0","0",
"Municipality of Cidra","Cidra","PR","40124","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","7","0","0","0","0",
"Municipality of Carolina, dba: Gobierno Municipal Autonomo de Carolina","Carolina","PR","40125","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","24","0","0","0","0",
"Municipality of Humacao, dba: Sistema de Transporte Colectivo de Humacao","Humacao","PR","40126","City, County or Local Government Unit or Department of Transportation","Reduced Reporter","2024","79093","San Juan, PR","1844410","2","0","0","0","0",
"Okaloosa County Board of County Commissioners, dba: EC RIDER","Crestview","FL","40128","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","61372","Navarre--Miramar Beach--Destin, FL","226213","42","0","2562457","0","2562457",
"Charlotte County Government, dba: Charlotte County Transit Division","Port Charlotte","FL","40129","City, County or Local Government Unit or Department of Transportation","Full Reporter","2024","71060","Port Charlotte--North Port, FL","199998","23","0","1074148","0","1074148",
"Macon-Bibb County Transit Authority","Macon","GA","40130","Independent Public Agency or Authority of Transit Service","Reduced Reporter","2024","52822","Macon-Bibb County, GA","140111","29","0","0","210887","210887",
